Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2022-01-02;30,00;370,00;100,00;75,00;100,00;85,38;87,69;55,38;73,85;32,86;55,71;35,71;97,14;47,50;40,00;32,50;20,00;37,00;25,00;18,00;21,00;33,00;12,00;26,00;13,00;26,00;15,00;11,00;0,00;8,00;9,00;4,00;5,00;0,00;3,00;0,00
2022-01-09;26,00;301,60;78,00;72,80;98,80;87,45;63,82;63,82;99,27;31,78;30,33;50,56;70,78;30,73;61,45;30,73;11,82;23,00;38,00;17,00;20,00;25,00;6,00;12,00;18,00;11,00;29,00;10,00;3,00;8,00;0,00;6,00;6,00;8,00;5,00;5,00
2022-01-16;18,00;279,00;94,50;58,50;99,00;94,50;60,75;76,50;103,50;44,31;40,15;42,92;70,62;56,57;54,00;30,86;33,43;46,00;32,00;26,00;29,00;27,00;16,00;8,00;19,00;12,00;24,00;7,00;0,00;15,00;5,00;0,00;12,00;7,00;12,00;0,00
2022-01-23;29,00;323,83;120,83;87,00;116,00;118,23;69,15;91,46;124,92;59,45;46,40;52,20;107,30;50,75;45,92;36,25;16,92;44,00;50,00;20,00;17,00;33,00;13,00;8,00;30,00;13,00;19,00;11,00;0,00;7,00;25,00;3,00;17,00;5,00;4,00;4,00
2022-01-30;34,00;320,57;121,43;106,86;111,71;126,93;79,33;81,60;142,80;55,25;65,17;51,00;70,83;70,43;77,71;34,00;17,00;51,00;46,00;22,00;27,00;31,00;19,00;28,00;20,00;11,00;28,00;0,00;4,00;10,00;16,00;3,00;0,00;6,00;5,00;0,00
2022-02-06;40,00;400,00;150,00;155,00;145,00;124,71;61,18;108,24;136,47;61,43;44,29;77,14;72,86;62,50;72,50;35,00;25,00;44,00;48,00;22,00;15,00;32,00;17,00;16,00;19,00;17,00;31,00;20,00;8,00;16,00;0,00;6,00;18,00;12,00;15,00;0,00
2022-02-13;38,00;374,57;146,57;173,71;141,14;130,63;73,63;95,00;128,25;50,67;60,52;70,37;101,33;45,60;65,87;22,80;22,80;41,00;58,00;32,00;23,00;47,00;21,00;17,00;23,00;22,00;28,00;14,00;21,00;12,00;13,00;8,00;10,00;0,00;3,00;3,00
2022-02-20;40,00;375,00;150,00;270,00;140,00;141,18;77,65;84,71;124,71;52,86;61,43;70,00;107,14;45,00;80,00;35,00;25,00;40,00;47,00;26,00;21,00;51,00;18,00;17,00;5,00;23,00;26,00;3,00;9,00;20,00;8,00;0,00;0,00;10,00;5,00;8,00
2022-02-27;43,00;413,88;166,63;193,50;161,25;143,33;95,56;93,17;114,67;54,47;61,63;60,20;73,10;32,88;58,18;22,76;7,59;39,00;43,00;30,00;21,00;27,00;9,00;22,00;21,00;27,00;6,00;8,00;8,00;6,00;6,00;15,00;5,00;18,00;0,00;0,00
2022-03-06;46,00;378,22;153,33;148,22;138,00;128,80;69,00;92,00;124,20;40,25;47,44;67,56;99,19;38,74;50,84;31,47;21,79;41,00;29,00;24,00;27,00;43,00;13,00;25,00;7,00;16,00;21,00;0,00;3,00;11,00;21,00;0,00;8,00;5,00;4,00;7,00
2022-03-13;44,00;361,78;166,22;176,00;117,33;106,53;85,68;94,95;118,11;42,58;59,61;76,65;80,90;39,11;58,67;29,33;17,11;44,00;56,00;28,00;26,00;45,00;22,00;16,00;18,00;8,00;19,00;6,00;10,00;13,00;16,00;9,00;14,00;6,00;7,00;0,00
2022-03-20;45,00;365,00;150,00;185,00;145,00;156,32;78,16;82,89;111,32;49,35;59,52;81,29;85,65;42,50;60,00;35,00;22,50;38,00;46,00;36,00;19,00;42,00;19,00;7,00;16,00;14,00;23,00;10,00;5,00;22,00;6,00;3,00;6,00;8,00;4,00;12,00
2022-03-27;46,00;434,44;158,44;194,22;158,44;177,10;89,70;92,00;126,50;50,31;66,13;84,81;67,56;48,42;99,26;33,89;19,37;58,00;48,00;39,00;34,00;56,00;16,00;13,00;17,00;23,00;23,00;14,00;13,00;19,00;18,00;10,00;2,00;10,00;9,00;6,00
2022-04-03;59,00;520,27;209,18;257,45;225,27;198,24;106,20;106,20;162,84;60,44;74,83;103,61;86,34;49,17;76,21;31,96;39,33;60,00;51,00;39,00;26,00;52,00;22,00;20,00;16,00;21,00;15,00;15,00;10,00;21,00;23,00;8,00;11,00;14,00;5,00;2,00
2022-04-10;41,00;451,00;179,38;225,50;179,38;136,67;107,06;104,78;136,67;45,24;79,17;84,83;74,93;31,35;86,82;26,53;28,94;61,00;27,00;30,00;26,00;42,00;20,00;19,00;18,00;25,00;13,00;22,00;6,00;25,00;15,00;10,00;24,00;9,00;9,00;12,00
2022-04-17;53,00;386,90;185,50;153,70;185,50;129,04;82,96;99,09;110,61;38,68;57,30;70,19;90,24;32,81;83,29;35,33;15,14;48,00;50,00;30,00;19,00;74,00;14,00;16,00;22,00;26,00;17,00;9,00;18,00;16,00;26,00;3,00;8,00;11,00;4,00;0,00
2022-04-24;40,00;350,00;180,00;160,00;155,00;112,94;87,06;101,18;105,88;50,00;57,14;64,29;62,86;40,00;95,00;37,50;22,50;49,00;42,00;34,00;25,00;49,00;20,00;21,00;19,00;18,00;10,00;9,00;20,00;12,00;17,00;9,00;18,00;9,00;4,00;0,00
2022-05-01;47,00;402,11;161,89;141,00;177,56;126,90;77,55;235,00;110,45;44,15;61,24;71,21;78,33;37,11;84,11;34,63;34,63;40,00;40,00;30,00;26,00;54,00;21,00;19,00;22,00;24,00;14,00;11,00;7,00;17,00;7,00;0,00;16,00;0,00;6,00;7,00
2022-05-08;53,00;371,00;153,70;164,30;153,70;165,91;71,43;117,52;103,70;44,41;53,00;63,03;90,24;43,36;62,64;31,32;19,27;59,00;43,00;30,00;25,00;61,00;18,00;23,00;25,00;19,00;13,00;7,00;8,00;17,00;9,00;13,00;11,00;5,00;0,00;2,00
2022-05-15;53,00;408,10;169,60;174,90;169,60;126,74;94,48;82,96;110,61;48,70;41,54;58,73;75,92;42,90;68,14;40,38;45,43;49,00;36,00;42,00;22,00;75,00;10,00;18,00;7,00;32,00;14,00;3,00;14,00;12,00;10,00;0,00;14,00;9,00;7,00;5,00
2022-05-22;47,00;459,56;167,11;172,33;161,89;143,35;110,45;94,00;119,85;51,27;65,52;76,91;94,00;47,00;74,21;34,63;29,68;49,00;51,00;34,00;19,00;73,00;22,00;11,00;15,00;27,00;21,00;14,00;7,00;11,00;15,00;11,00;10,00;3,00;9,00;10,00
2022-05-29;42,00;357,00;220,50;162,75;147,00;123,67;84,00;81,67;107,33;47,79;56,48;68,07;63,72;44,47;79,06;44,47;22,24;39,00;38,00;37,00;23,00;52,00;22,00;24,00;19,00;30,00;11,00;14,00;12,00;13,00;5,00;8,00;7,00;19,00;0,00;4,00
2022-06-05;44,00;337,33;161,33;180,89;127,11;129,68;90,32;67,16;94,95;45,42;73,81;97,94;92,26;34,22;66,00;36,67;31,78;44,00;38,00;33,00;29,00;73,00;24,00;11,00;31,00;27,00;13,00;6,00;21,00;9,00;15,00;11,00;17,00;10,00;13,00;3,00
2022-06-12;49,00;370,22;174,22;174,22;157,89;100,33;109,67;67,67;91,00;44,68;49,00;77,82;86,47;41,65;71,05;24,50;22,05;47,00;32,00;28,00;25,00;59,00;37,00;32,00;19,00;30,00;19,00;0,00;9,00;15,00;20,00;18,00;12,00;12,00;13,00;10,00
2022-06-19;53,00;360,40;185,50;159,00;169,60;115,22;110,61;94,48;101,39;55,86;53,00;74,49;77,35;50,59;67,45;36,14;21,68;48,00;35,00;46,00;38,00;60,00;14,00;17,00;13,00;29,00;17,00;14,00;9,00;18,00;20,00;9,00;19,00;0,00;4,00;0,00
2022-06-26;63,00;367,50;173,25;199,50;178,50;114,33;116,67;70,00;100,33;57,27;64,43;64,43;78,75;57,96;68,04;35,28;30,24;43,00;37,00;45,00;47,00;67,00;25,00;20,00;28,00;26,00;11,00;15,00;21,00;12,00;15,00;5,00;23,00;6,00;13,00;3,00
2022-07-03;60,00;390,00;165,00;210,00;190,00;126,92;117,69;71,54;92,31;41,43;78,57;78,57;77,14;52,50;85,00;47,50;35,00;53,00;35,00;48,00;49,00;66,00;32,00;24,00;32,00;30,00;24,00;5,00;12,00;27,00;29,00;10,00;25,00;18,00;10,00;8,00
2022-07-10;74,00;422,86;179,71;185,00;163,86;117,94;111,00;87,88;154,94;44,12;74,00;99,62;62,62;41,93;83,87;51,80;17,27;61,00;50,00;58,00;41,00;69,00;22,00;12,00;19,00;42,00;18,00;13,00;24,00;19,00;23,00;10,00;22,00;0,00;6,00;11,00
2022-07-17;60,00;500,00;190,00;205,00;150,00;140,77;145,38;71,54;120,00;62,86;64,29;85,71;64,29;37,50;100,00;25,00;27,50;54,00;39,00;43,00;42,00;68,00;42,00;26,00;34,00;42,00;21,00;18,00;12,00;36,00;16,00;14,00;20,00;12,00;9,00;6,00
2022-07-24;61,00;503,25;193,17;203,33;147,42;114,96;124,35;82,12;107,92;58,10;61,00;84,24;79,88;65,88;75,64;34,16;24,40;52,00;53,00;48,00;45,00;46,00;24,00;12,00;27,00;28,00;26,00;20,00;19,00;15,00;31,00;11,00;23,00;9,00;9,00;3,00
2022-07-31;61,00;432,08;193,17;213,50;152,50;124,35;114,96;86,81;96,19;59,55;69,71;62,45;85,69;71,17;81,33;43,21;35,58;47,00;50,00;35,00;53,00;68,00;26,00;17,00;16,00;38,00;18,00;13,00;13,00;10,00;14,00;11,00;13,00;17,00;4,00;19,00
2022-08-07;55,00;430,00;160,00;185,00;145,00;114,58;114,58;64,17;110,00;52,11;55,00;55,00;81,05;60,00;67,50;55,00;25,00;32,00;28,00;42,00;26,00;51,00;41,00;24,00;15,00;45,00;17,00;9,00;12,00;15,00;17,00;13,00;26,00;4,00;6,00;4,00
2022-08-14;45,00;420,00;190,00;190,00;155,00;118,42;125,53;73,42;75,79;53,71;79,84;74,03;84,19;57,50;85,00;40,00;30,00;37,00;44,00;37,00;31,00;43,00;42,00;13,00;21,00;21,00;27,00;8,00;18,00;9,00;14,00;6,00;20,00;24,00;15,00;7,00
2022-08-21;51,00;367,20;178,50;193,80;132,60;108,95;104,32;83,45;99,68;55,37;48,09;56,83;72,86;51,00;70,43;41,29;29,14;20,00;42,00;27,00;29,00;55,00;24,00;20,00;13,00;28,00;13,00;6,00;0,00;6,00;21,00;4,00;11,00;4,00;0,00;0,00
2022-08-28;50,00;320,00;190,00;145,00;135,00;95,24;71,43;83,33;107,14;58,57;64,29;64,29;90,00;55,00;75,00;37,50;25,00;40,00;34,00;29,00;11,00;40,00;25,00;14,00;17,00;26,00;16,00;6,00;14,00;5,00;17,00;8,00;9,00;6,00;15,00;6,00
2022-09-04;44,00;385,00;253,00;165,00;143,00;120,42;88,00;85,68;99,58;61,60;60,13;70,40;71,87;44,00;66,00;31,78;26,89;50,00;46,00;45,00;35,00;48,00;22,00;17,00;19,00;23,00;16,00;6,00;8,00;17,00;14,00;3,00;4,00;0,00;3,00;0,00
2022-09-11;54,00;338,73;220,91;137,45;132,55;108,00;98,61;98,61;105,65;58,26;62,53;59,68;93,79;49,09;68,73;46,64;44,18;50,00;51,00;15,00;28,00;45,00;30,00;26,00;16,00;36,00;17,00;4,00;14,00;21,00;14,00;0,00;0,00;0,00;3,00;10,00
2022-09-18;29,00;323,83;246,50;149,83;96,67;103,92;84,58;91,83;116,00;53,65;71,05;56,55;81,20;36,25;58,00;36,25;31,42;51,00;39,00;39,00;28,00;39,00;27,00;14,00;19,00;21,00;10,00;7,00;11,00;19,00;16,00;0,00;11,00;5,00;0,00;0,00
2022-09-25;22,00;374,00;214,50;165,00;143,00;95,33;95,33;90,44;92,89;57,20;60,13;54,27;74,80;36,67;48,89;56,22;26,89;29,00;37,00;29,00;31,00;30,00;12,00;24,00;29,00;17,00;8,00;4,00;8,00;10,00;0,00;5,00;12,00;7,00;5,00;0,00
2022-10-02;27,00;372,60;226,80;151,20;102,60;90,00;92,25;76,50;78,75;55,42;55,42;61,11;71,05;31,91;49,09;41,73;34,36;34,00;47,00;25,00;20,00;33,00;23,00;12,00;14,00;19,00;14,00;9,00;5,00;0,00;12,00;5,00;7,00;9,00;9,00;0,00
2022-10-09;20,00;325,00;220,00;170,00;110,00;91,11;86,67;82,22;88,89;55,71;51,43;54,29;72,86;30,00;45,00;32,50;27,50;37,00;35,00;18,00;19,00;12,00;20,00;22,00;13,00;8,00;8,00;27,00;11,00;17,00;5,00;11,00;6,00;3,00;0,00;0,00
2022-10-16;20,00;405,00;210,00;175,00;100,00;95,56;84,44;73,33;75,56;42,86;44,29;54,29;67,14;32,50;57,50;35,00;40,00;33,00;46,00;23,00;24,00;46,00;10,00;15,00;18,00;21,00;16,00;7,00;6,00;17,00;0,00;3,00;7,00;6,00;4,00;6,00
2022-10-23;24,00;384,00;230,40;211,20;110,40;103,20;103,20;76,80;91,20;56,47;42,35;59,29;77,65;48,00;38,40;28,80;33,60;30,00;50,00;33,00;28,00;40,00;26,00;20,00;14,00;8,00;4,00;6,00;10,00;8,00;3,00;4,00;6,00;0,00;16,00;3,00
2022-10-30;9,00;405,00;238,50;175,50;94,50;69,75;99,00;67,50;94,50;55,50;61,50;54,00;82,50;57,00;81,00;51,00;45,00;32,00;35,00;23,00;24,00;30,00;10,00;18,00;21,00;18,00;11,00;11,00;11,00;8,00;7,00;5,00;8,00;0,00;0,00;6,00
2022-11-06;21,00;357,00;246,75;173,25;94,50;91,00;105,00;67,67;100,33;54,00;61,50;60,00;81,00;44,63;60,38;39,38;31,50;34,00;43,00;26,00;21,00;29,00;26,00;21,00;16,00;11,00;11,00;15,00;8,00;8,00;4,00;10,00;3,00;0,00;0,00;0,00
2022-11-13;24,00;297,60;220,80;139,20;72,00;74,40;76,80;60,00;74,40;50,82;40,94;36,71;141,18;31,20;38,40;45,60;33,60;17,00;36,00;17,00;25,00;30,00;11,00;20,00;15,00;10,00;10,00;0,00;6,00;3,00;10,00;4,00;0,00;5,00;0,00;3,00
2022-11-20;18,00;252,00;175,50;99,00;63,00;78,75;74,25;60,75;47,25;34,62;38,77;33,23;58,15;33,43;36,00;30,86;43,71;10,00;38,00;17,00;19,00;20,00;18,00;17,00;12,00;7,00;15,00;0,00;6,00;6,00;6,00;8,00;4,00;0,00;4,00;0,00
2022-11-27;15,00;280,00;175,00;115,00;70,00;80,00;80,00;50,00;52,50;46,50;52,50;31,50;69,00;17,50;30,00;37,50;35,00;31,00;35,00;16,00;16,00;14,00;20,00;10,00;16,00;7,00;0,00;5,00;10,00;6,00;0,00;4,00;0,00;0,00;0,00;0,00
2022-12-04;18,00;265,50;162,00;112,50;54,00;60,75;72,00;47,25;58,50;47,08;44,31;30,46;56,77;25,71;30,86;43,71;41,14;25,00;43,00;23,00;21,00;18,00;9,00;19,00;10,00;9,00;12,00;4,00;17,00;18,00;4,00;0,00;13,00;3,00;0,00;0,00
2022-12-11;15,00;295,00;200,00;115,00;60,00;75,00;65,00;60,00;67,50;40,50;64,50;31,50;61,50;37,50;30,00;27,50;47,50;21,00;52,00;27,00;24,00;21,00;27,00;18,00;8,00;10,00;20,00;15,00;7,00;9,00;19,00;0,00;6,00;3,00;6,00;3,00
2022-12-18;15,00;325,00;195,00;130,00;65,00;60,00;75,00;50,00;65,00;48,00;54,00;37,50;73,50;22,50;32,50;37,50;27,50;25,00;26,00;22,00;31,00;19,00;15,00;14,00;19,00;15,00;13,00;0,00;19,00;6,00;11,00;7,00;0,00;6,00;0,00;7,00
2022-12-25;26,00;514,80;228,80;202,80;109,20;125,27;104,00;70,91;68,55;65,00;96,78;62,11;65,00;36,40;39,00;54,60;44,20;30,00;52,00;26,00;33,00;27,00;21,00;24,00;15,00;14,00;11,00;0,00;16,00;10,00;7,00;8,00;4,00;0,00;0,00;7,00
2023-01-01;19,00;441,75;237,50;180,50;118,75;114,00;97,38;66,50;99,75;55,54;86,23;68,69;83,31;54,63;47,50;47,50;14,25;43,00;42,00;30,00;35,00;29,00;17,00;19,00;23,00;12,00;23,00;3,00;10,00;13,00;6,00;10,00;6,00;0,00;6,00;0,00
2023-01-08;41,00;374,13;215,25;169,13;128,13;104,78;91,11;72,89;102,50;48,07;74,93;55,14;74,93;38,59;53,06;38,59;19,29;36,00;39,00;23,00;30,00;31,00;15,00;18,00;8,00;17,00;21,00;5,00;6,00;5,00;7,00;0,00;4,00;6,00;3,00;0,00
2023-01-15;38,00;363,71;249,71;168,29;130,29;118,47;67,06;87,18;96,12;52,07;67,56;73,19;68,96;40,38;59,38;33,25;23,75;35,00;38,00;23,00;29,00;32,00;13,00;22,00;22,00;14,00;10,00;8,00;3,00;10,00;9,00;0,00;0,00;8,00;0,00;0,00
2023-01-22;28,00;392,00;207,20;184,80;128,80;109,67;77,00;81,67;121,33;47,16;66,32;66,32;97,26;43,27;50,91;38,18;12,73;43,00;50,00;40,00;24,00;26,00;22,00;24,00;22,00;11,00;17,00;0,00;7,00;12,00;11,00;7,00;8,00;3,00;5,00;6,00
2023-01-29;41,00;369,00;220,38;164,00;123,00;127,56;86,56;82,00;116,17;49,79;65,89;62,96;74,68;55,47;65,12;38,59;19,29;46,00;45,00;32,00;31,00;37,00;22,00;17,00;14,00;17,00;22,00;0,00;0,00;15,00;18,00;8,00;9,00;0,00;4,00;0,00
2023-02-05;39,00;365,63;180,38;185,25;136,50;130,76;91,76;82,59;110,12;65,00;70,78;78,00;82,33;43,88;48,75;34,13;14,63;43,00;44,00;32,00;35,00;54,00;24,00;24,00;24,00;12,00;15,00;8,00;6,00;9,00;15,00;0,00;12,00;3,00;3,00;5,00
2023-02-12;39,00;326,63;199,88;180,38;121,88;117,00;87,18;80,29;94,06;46,22;73,67;65,00;73,67;36,56;56,06;36,56;24,38;35,00;35,00;34,00;43,00;48,00;24,00;12,00;19,00;20,00;21,00;8,00;18,00;6,00;13,00;7,00;9,00;0,00;8,00;3,00
2023-02-19;41,00;461,25;215,25;210,13;164,00;127,56;97,94;77,44;107,06;52,31;53,72;77,76;55,14;41,00;89,24;24,12;12,06;39,00;26,00;28,00;25,00;48,00;16,00;19,00;18,00;27,00;13,00;8,00;12,00;19,00;5,00;7,00;7,00;6,00;4,00;6,00
2023-02-26;34,00;388,57;204,00;145,71;126,29;128,71;94,71;75,29;131,14;39,91;66,52;69,48;56,17;46,14;53,43;55,86;24,29;34,00;37,00;21,00;35,00;62,00;22,00;12,00;14,00;14,00;16,00;0,00;9,00;15,00;6,00;4,00;10,00;5,00;14,00;0,00
2023-03-05;36,00;318,86;205,71;149,14;133,71;117,00;87,75;78,75;139,50;57,60;56,16;50,40;83,52;36,00;48,00;36,00;31,20;34,00;40,00;31,00;27,00;44,00;17,00;17,00;19,00;12,00;11,00;11,00;17,00;0,00;8,00;7,00;18,00;8,00;0,00;4,00
2023-03-12;28,00;431,20;207,20;162,40;156,80;151,67;86,33;93,33;107,33;42,74;78,11;72,21;67,79;48,36;61,09;35,64;45,82;47,00;38,00;39,00;28,00;67,00;4,00;10,00;17,00;14,00;16,00;11,00;9,00;16,00;10,00;8,00;15,00;6,00;0,00;7,00
2023-03-19;41,00;338,25;184,50;133,25;128,13;137,47;82,00;113,35;98,88;51,25;71,75;80,54;73,21;48,69;84,56;38,44;17,94;41,00;39,00;19,00;28,00;42,00;24,00;14,00;15,00;12,00;12,00;5,00;8,00;12,00;11,00;9,00;5,00;0,00;4,00;0,00
2023-03-26;48,00;389,33;197,33;165,33;181,33;139,43;86,86;91,43;105,14;55,06;69,18;73,41;59,29;48,00;60,00;24,00;19,20;45,00;44,00;25,00;31,00;44,00;24,00;20,00;16,00;19,00;14,00;9,00;14,00;15,00;10,00;6,00;0,00;0,00;0,00;6,00
2023-04-02;47,00;428,22;214,11;214,11;172,33;141,00;84,60;101,05;126,90;64,09;74,06;79,76;65,52;61,84;71,74;37,11;32,16;46,00;33,00;27,00;28,00;50,00;20,00;19,00;19,00;22,00;17,00;13,00;13,00;10,00;13,00;4,00;12,00;6,00;5,00;5,00
2023-04-09;39,00;365,63;160,88;165,75;141,38;112,41;91,76;89,47;110,12;62,11;73,67;85,22;53,44;43,88;73,13;31,69;9,75;49,00;52,00;23,00;17,00;49,00;14,00;16,00;19,00;16,00;20,00;8,00;15,00;11,00;9,00;12,00;9,00;4,00;0,00;11,00
2023-04-16;43,00;344,00;193,50;166,63;177,38;102,72;74,06;100,33;90,78;43,00;60,20;74,53;60,20;45,53;55,65;30,35;30,35;37,00;40,00;25,00;26,00;56,00;24,00;17,00;14,00;18,00;5,00;10,00;16,00;8,00;16,00;3,00;9,00;0,00;6,00;0,00
2023-04-23;37,00;407,00;222,00;163,86;163,86;124,88;92,50;131,81;97,13;65,46;68,31;61,19;62,62;39,47;64,13;27,13;27,13;60,00;20,00;35,00;29,00;57,00;14,00;31,00;17,00;25,00;8,00;5,00;11,00;12,00;14,00;4,00;10,00;7,00;9,00;10,00
2023-04-30;66,00;390,92;187,85;142,15;116,77;124,93;84,86;167,36;96,64;41,61;74,61;51,65;80,35;44,00;46,44;41,56;31,78;50,00;39,00;24,00;46,00;41,00;18,00;22,00;21,00;20,00;20,00;7,00;6,00;9,00;13,00;6,00;5,00;8,00;4,00;0,00
2023-05-07;46,00;357,78;209,56;153,33;158,44;124,20;82,80;101,20;103,50;57,50;66,13;89,13;90,56;48,42;58,11;26,63;29,05;31,00;41,00;29,00;40,00;51,00;16,00;15,00;7,00;25,00;21,00;13,00;7,00;17,00;16,00;15,00;8,00;4,00;0,00;0,00
2023-05-14;42,00;404,25;194,25;168,00;152,25;135,33;88,67;93,33;112,00;55,03;72,41;69,52;65,17;42,00;61,76;32,12;19,76;47,00;38,00;21,00;42,00;42,00;31,00;20,00;10,00;18,00;18,00;8,00;10,00;10,00;10,00;0,00;17,00;6,00;9,00;6,00
2023-05-21;45,00;320,00;170,00;130,00;120,00;125,53;73,42;85,26;101,84;55,16;94,35;65,32;55,16;45,00;52,50;32,50;32,50;41,00;35,00;21,00;22,00;52,00;14,00;3,00;24,00;21,00;14,00;10,00;17,00;9,00;11,00;7,00;17,00;0,00;11,00;0,00
2023-05-28;37,00;322,43;158,57;158,57;163,86;131,81;85,56;64,75;94,81;39,85;88,23;48,38;44,12;61,67;66,60;44,40;19,73;30,00;27,00;18,00;23,00;56,00;13,00;21,00;30,00;21,00;13,00;11,00;26,00;8,00;8,00;11,00;13,00;13,00;6,00;0,00
2023-06-04;51,00;295,80;147,90;117,30;132,60;122,86;69,55;81,14;83,45;56,83;53,91;61,20;84,51;40,80;58,65;38,25;17,85;39,00;29,00;25,00;38,00;53,00;17,00;17,00;29,00;29,00;21,00;20,00;13,00;17,00;16,00;10,00;16,00;8,00;6,00;3,00
2023-06-11;58,00;279,45;137,09;105,45;110,73;83,52;60,32;64,96;95,12;43,50;50,75;71,05;65,25;47,91;47,91;27,74;35,30;37,00;45,00;31,00;36,00;52,00;24,00;19,00;17,00;26,00;7,00;14,00;6,00;12,00;21,00;4,00;12,00;10,00;5,00;8,00
