Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2023-03-19;37,00;167,92;105,31;56,92;119,54;107,11;5,84;72,05;81,79;56,73;76,47;185,00;49,33;40,70;79,55;48,10;31,45;41,00;35,00;26,00;35,00;19,00;45,00;18,00;11,00;16,00;3,00;54,00;6,00;6,00;0,00;5,00;10,00;6,00;2,00
2023-03-26;44,00;176,00;120,27;61,60;143,73;95,65;0,00;78,43;88,00;49,18;85,41;191,53;59,53;38,50;73,33;53,17;33,00;54,00;33,00;31,00;48,00;24,00;50,00;14,00;12,00;5,00;7,00;57,00;8,00;11,00;2,00;0,00;14,00;6,00;0,00
2023-04-02;63,00;216,00;138,00;84,00;162,00;124,03;0,00;86,63;92,53;63,00;68,04;252,00;65,52;59,18;95,45;57,27;57,27;44,00;38,00;44,00;40,00;30,00;55,00;19,00;16,00;11,00;8,00;74,00;3,00;8,00;3,00;9,00;8,00;9,00;0,00
2023-04-09;68,00;204,00;144,87;76,87;141,91;122,40;7,77;83,54;102,97;65,48;88,15;244,30;68,00;45,33;100,11;64,22;37,78;59,00;40,00;33,00;40,00;29,00;54,00;12,00;11,00;15,00;6,00;60,00;5,00;7,00;7,00;2,00;9,00;16,00;0,00
2023-04-16;70,00;166,25;134,17;61,25;172,08;105,00;0,00;79,72;89,44;51,85;77,78;222,96;59,63;56,76;85,14;64,32;39,73;45,00;45,00;32,00;43,00;24,00;61,00;25,00;16,00;13,00;14,00;57,00;0,00;0,00;3,00;3,00;9,00;2,00;0,00
2023-04-23;48,00;180,00;123,00;66,00;135,00;96,00;1,92;126,72;80,64;55,58;78,32;222,32;50,53;36,48;67,20;55,68;32,64;43,00;38,00;41,00;47,00;38,00;52,00;19,00;24,00;15,00;4,00;63,00;0,00;2,00;3,00;0,00;7,00;5,00;2,00
2023-04-30;48,00;156,00;135,00;54,00;138,00;86,40;0,00;192,00;74,88;53,05;65,68;197,05;58,11;51,84;74,88;51,84;28,80;44,00;37,00;30,00;35,00;21,00;50,00;24,00;19,00;6,00;3,00;54,00;4,00;6,00;4,00;5,00;12,00;9,00;6,00
2023-05-07;42,00;147,00;123,00;48,00;138,00;106,91;5,73;87,82;74,45;42,00;73,50;212,63;70,88;43,91;68,73;45,82;30,55;49,00;23,00;33,00;37,00;21,00;52,00;23,00;13,00;12,00;5,00;53,00;2,00;7,00;8,00;2,00;15,00;5,00;2,00
2023-05-14;42,00;177,00;126,00;69,00;129,00;160,00;0,00;78,00;94,00;60,38;81,38;259,88;70,88;57,27;97,36;55,36;59,18;59,00;38,00;40,00;44,00;16,00;83,00;13,00;19,00;9,00;0,00;53,00;3,00;8,00;4,00;3,00;8,00;7,00;4,00
2023-05-21;45,00;153,00;96,00;57,00;126,00;84,13;3,91;68,48;76,30;50,00;62,50;187,50;65,00;35,63;67,50;46,88;50,63;42,00;34,00;29,00;43,00;20,00;46,00;21,00;17,00;16,00;4,00;55,00;4,00;7,00;5,00;0,00;12,00;0,00;5,00
2023-05-28;38,00;157,85;81,85;49,69;111,08;134,00;6,00;66,00;76,00;35,47;63,33;167,20;63,33;34,20;68,40;43,70;22,80;29,00;26,00;27,00;37,00;18,00;41,00;19,00;14,00;16,00;5,00;58,00;7,00;9,00;0,00;6,00;21,00;5,00;0,00
2023-06-04;39,00;162,00;99,00;42,00;120,00;58,50;3,90;58,50;62,40;39,00;65,00;156,00;67,60;35,29;61,29;40,86;31,57;34,00;40,00;26,00;31,00;20,00;42,00;16,00;13,00;8,00;4,00;53,00;3,00;3,00;5,00;4,00;9,00;0,00;0,00
2023-06-11;46,00;140,88;100,63;48,88;89,13;59,42;5,75;72,83;55,58;40,89;63,89;181,44;53,67;34,96;60,72;44,16;20,24;45,00;27,00;24,00;25,00;18,00;43,00;19,00;15,00;18,00;9,00;67,00;4,00;3,00;5,00;7,00;0,00;0,00;0,00
