Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2020-04-19;27,00;0,00;0,00;0,00;0,00;22,00;21,00;0,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,43;0,00;32,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;47,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;29,00
2020-04-26;30,00;0,00;0,00;15,56;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;11,00;14,00;14,00;0,00;0,00;10,43;0,00;0,00;0,00;0,00;0,00;17,50;11,25;0,00;0,00;0,00;0,00;0,00;0,00;13,00;33,00;10,00;0,00;25,00;0,00;17,00;35,00;0,00;0,00
2020-05-03;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;24,00;64,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;14,67;14,67;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;11,00;0,00;11,00
2020-05-10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;32,00;0,00;18,00;11,00;32,00;0,00;38,00;15,00;0,00;0,00;0,00;45,00;17,00;0,00;0,00;0,00;0,00;62,00;0,00;22,00
2020-05-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;10,00;24,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;14,00;41,00;19,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;10,00;12,00;0,00;0,00;21,00;0,00;0,00;18,00;0,00;19,00;43,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;42,00
2020-05-31;28,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;15,27;0,00;0,00;0,00;0,00;13,00;18,00;0,00;21,00;0,00;0,00;22,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;23,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;14,00;35,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;41,00;0,00;0,00;0,00;16,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;11,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;41,36;18,91;0,00;0,00;0,00;0,00;12,00;0,00;24,00;25,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;21,00;28,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;18,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;13,13;0,00;0,00;0,00;19,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00
