Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2020-04-19;17,00;0,00;0,00;0,00;4,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;5,00;4,00;0,00;24,85;3,92;10,46;0,00;12,00;0,00;0,00;0,00;7,56;22,67;17,00;0,00;87,43;19,43;14,57;7,29;11,00;28,00;4,00;7,00;28,00;10,00;4,00;0,00
2020-04-26;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;30,68;0,00;0,00;0,00;12,00;0,00;5,00;0,00;3,60;25,20;7,20;0,00;60,75;6,75;9,00;0,00;10,00;3,00;11,00;15,00;21,00;17,00;0,00;0,00
2020-05-03;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;5,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;37,64;13,36;6,07;0,00;15,00;0,00;0,00;0,00;6,80;27,20;8,50;8,50;72,86;4,86;0,00;7,29;4,00;0,00;0,00;10,00;22,00;8,00;0,00;0,00
2020-05-10;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;28,75;0,00;17,50;0,00;7,00;0,00;0,00;0,00;13,33;30,00;8,33;0,00;60,00;12,00;0,00;8,00;10,00;0,00;0,00;17,00;21,00;17,00;0,00;8,00
2020-05-17;18,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;5,00;0,00;28,80;12,00;4,80;0,00;12,00;0,00;7,00;0,00;0,00;28,80;0,00;12,60;81,00;9,00;0,00;13,50;20,00;9,00;10,00;15,00;40,00;5,00;0,00;7,00
2020-05-24;18,00;15,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;4,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;39,86;0,00;0,00;10,29;10,00;0,00;7,00;0,00;10,80;19,80;9,00;0,00;54,00;4,50;9,00;0,00;11,00;0,00;6,00;9,00;24,00;13,00;0,00;17,00
2020-05-31;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;22,00;0,00;5,00;23,00;0,00;5,11;10,22;25,00;7,00;7,00;5,00;3,54;23,00;0,00;0,00;62,10;11,50;6,90;0,00;23,00;0,00;4,00;13,00;34,00;7,00;0,00;0,00
2020-06-07;19,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;8,00;0,00;15,00;0,00;0,00;13,93;3,80;0,00;11,40;16,00;5,00;4,00;5,00;0,00;26,60;7,60;0,00;57,00;14,25;4,75;0,00;15,00;0,00;0,00;10,00;78,00;9,00;0,00;19,00
2020-06-14;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;19,88;0,00;0,00;0,00;36,00;0,00;12,00;0,00;0,00;32,09;0,00;7,13;68,33;0,00;4,56;11,39;14,00;0,00;6,00;19,00;44,00;7,00;0,00;10,00
2020-06-21;38,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;6,00;0,00;7,00;8,00;0,00;11,00;0,00;0,00;0,00;14,00;0,00;24,52;8,58;11,03;0,00;43,00;4,00;0,00;0,00;7,24;47,05;12,67;0,00;57,00;11,88;0,00;0,00;13,00;9,00;5,00;18,00;37,00;13,00;0,00;10,00
2020-06-28;22,00;0,00;0,00;0,00;6,00;0,00;0,00;9,00;0,00;0,00;0,00;7,00;8,00;0,00;0,00;0,00;5,00;0,00;0,00;36,67;12,22;7,33;4,89;48,00;0,00;22,00;18,00;10,15;20,31;13,54;0,00;66,00;0,00;0,00;0,00;20,00;6,00;0,00;16,00;28,00;20,00;0,00;16,00
2020-07-05;21,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;15,00;5,00;0,00;5,00;0,00;32,12;0,00;0,00;0,00;24,00;0,00;8,00;7,00;7,00;29,75;8,75;0,00;70,00;9,33;0,00;7,00;5,00;0,00;0,00;13,00;36,00;10,00;0,00;6,00
2020-07-12;19,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;22,80;8,87;6,33;8,87;23,00;0,00;0,00;0,00;5,70;28,50;7,60;0,00;83,13;7,13;0,00;0,00;0,00;0,00;5,00;0,00;27,00;15,00;0,00;12,00
2020-07-19;21,00;0,00;0,00;10,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;46,94;11,12;7,41;8,65;30,00;0,00;0,00;0,00;7,00;38,50;5,25;3,50;95,67;0,00;9,33;7,00;8,00;0,00;8,00;13,00;34,00;11,00;0,00;8,00
2020-07-26;23,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;9,00;21,72;7,67;12,78;10,22;47,00;7,00;0,00;16,00;12,38;37,15;0,00;7,08;73,60;13,80;0,00;6,90;9,00;9,00;0,00;14,00;32,00;8,00;0,00;0,00
2020-08-02;10,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;4,00;0,00;0,00;0,00;4,00;40,00;8,75;10,00;7,50;36,00;5,00;0,00;0,00;0,00;33,33;25,00;0,00;82,50;0,00;15,00;0,00;0,00;15,00;5,00;18,00;39,00;9,00;6,00;0,00
2020-08-09;29,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;4,00;16,00;0,00;0,00;0,00;0,00;12,00;0,00;6,00;33,83;8,46;4,83;3,63;18,00;10,00;18,00;6,00;10,24;29,00;10,24;0,00;46,85;0,00;0,00;6,69;16,00;7,00;0,00;23,00;14,00;11,00;0,00;4,00
2020-08-16;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;8,00;42,95;8,59;7,36;0,00;39,00;0,00;0,00;0,00;7,20;70,20;5,40;0,00;65,25;4,50;4,50;6,75;22,00;4,00;5,00;19,00;26,00;7,00;4,00;10,00
