Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2021-04-25;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;21,33;0,00;0,00;6,67;13,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;28,00;6,00;6,00;6,00;0,00;0,00;0,00;25,00;12,00;16,00;0,00;6,00
2021-05-02;0,00;0,00;0,00;0,00;0,00;8,00;0,00;5,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;3,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;23,00;3,00;0,00;19,00;4,00;4,00;0,00;0,00;0,00;0,00;15,00;30,00;7,00;0,00;5,00
2021-05-09;15,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;4,00;6,00;11,00;6,00;12,50;6,25;7,50;11,25;12,00;0,00;0,00;9,00;5,00;16,67;5,00;6,67;53,57;4,29;0,00;6,43;0,00;9,00;0,00;8,00;21,00;9,00;0,00;0,00
2021-05-16;15,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;9,00;0,00;0,00;23,75;6,25;0,00;0,00;0,00;0,00;0,00;7,00;0,00;18,33;18,33;0,00;42,86;0,00;4,29;4,29;7,00;0,00;0,00;10,00;30,00;14,00;0,00;16,00
2021-05-23;15,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;6,00;11,00;6,00;8,00;0,00;0,00;10,00;12,00;0,00;0,00;0,00;20,00;0,00;10,00;8,75;14,00;0,00;0,00;10,00;0,00;22,50;0,00;0,00;70,00;0,00;5,00;15,00;17,00;0,00;5,00;13,00;29,00;0,00;0,00;11,00
2021-05-30;19,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;12,00;0,00;4,00;0,00;5,00;0,00;0,00;32,06;0,00;4,75;11,88;20,00;0,00;0,00;7,00;20,73;29,36;0,00;0,00;59,38;4,75;7,13;0,00;11,00;5,00;17,00;21,00;10,00;7,00;0,00;12,00
2021-06-06;17,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,43;4,86;4,86;0,00;9,00;10,00;0,00;0,00;0,00;52,89;7,56;11,33;99,57;7,29;4,86;0,00;7,00;7,00;0,00;12,00;0,00;30,00;0,00;15,00
2021-06-13;16,00;0,00;0,00;0,00;0,00;6,00;0,00;8,00;0,00;12,00;6,00;8,00;0,00;0,00;4,00;12,00;5,00;0,00;0,00;23,38;0,00;4,92;4,92;16,00;0,00;0,00;12,00;8,89;53,33;7,11;5,33;59,43;0,00;6,86;9,14;0,00;7,00;0,00;21,00;18,00;6,00;16,00;9,00
2021-06-20;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;10,00;0,00;12,00;0,00;0,00;34,72;0,00;14,88;0,00;16,00;0,00;0,00;0,00;15,50;58,56;0,00;5,17;97,43;15,50;0,00;11,07;9,00;0,00;0,00;0,00;38,00;8,00;0,00;5,00
2021-06-27;32,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;51,69;12,31;0,00;8,62;21,00;7,00;14,00;9,00;14,22;55,11;0,00;17,78;96,00;13,71;0,00;9,14;8,00;5,00;0,00;17,00;43,00;0,00;5,00;12,00
2021-07-04;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35,30;6,30;8,83;5,04;30,00;7,00;0,00;0,00;12,69;54,38;5,44;5,44;113,77;11,15;8,92;4,46;21,00;7,00;0,00;12,00;45,00;0,00;0,00;0,00
2021-07-11;16,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;5,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;51,69;16,00;0,00;8,62;24,00;0,00;6,00;0,00;10,67;62,22;19,56;10,67;91,43;11,43;0,00;0,00;12,00;0,00;0,00;44,00;33,00;10,00;0,00;16,00
2021-07-18;15,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;5,00;10,00;7,50;8,00;7,00;0,00;5,00;5,63;95,63;0,00;0,00;102,86;0,00;0,00;6,43;18,00;0,00;0,00;17,00;40,00;9,00;0,00;10,00
2021-07-25;20,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;28,75;0,00;8,75;0,00;14,00;0,00;0,00;5,00;16,36;92,73;16,36;10,91;100,00;11,11;6,67;6,67;0,00;0,00;0,00;26,00;22,00;5,00;0,00;15,00
2021-08-01;50,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;12,00;0,00;7,00;0,00;0,00;0,00;0,00;35,37;12,20;0,00;6,10;32,00;0,00;0,00;0,00;10,71;50,00;10,71;5,36;118,18;0,00;18,18;0,00;15,00;7,00;12,00;10,00;29,00;9,00;17,00;0,00
2021-08-08;26,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;5,00;8,00;6,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;34,67;0,00;11,14;6,19;7,00;0,00;0,00;14,00;0,00;65,87;12,13;0,00;82,33;0,00;0,00;0,00;10,00;0,00;0,00;14,00;32,00;0,00;7,00;0,00
2021-08-15;20,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;17,00;10,00;0,00;0,00;0,00;0,00;30,00;15,00;16,25;7,50;28,00;0,00;0,00;0,00;7,27;85,45;9,09;0,00;115,56;4,44;6,67;0,00;16,00;0,00;0,00;15,00;31,00;9,00;5,00;11,00
2021-08-22;15,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;40,00;6,25;0,00;8,75;11,00;0,00;5,00;0,00;0,00;39,38;11,25;5,63;81,43;10,71;0,00;6,43;7,00;0,00;0,00;9,00;37,00;6,00;0,00;13,00
2021-08-29;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;32,40;10,80;9,60;0,00;0,00;0,00;5,00;0,00;0,00;59,40;0,00;0,00;103,50;22,50;4,50;0,00;11,00;0,00;5,00;10,00;21,00;0,00;0,00;12,00
2021-09-05;20,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;56,25;0,00;6,25;0,00;8,00;0,00;0,00;0,00;23,64;43,64;7,27;0,00;75,56;4,44;13,33;0,00;8,00;30,00;0,00;0,00;23,00;6,00;16,00;9,00
2021-09-12;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;12,38;4,95;7,43;0,00;14,00;0,00;7,00;0,00;8,67;52,00;0,00;8,67;91,00;10,83;0,00;6,50;12,00;0,00;0,00;14,00;30,00;0,00;0,00;6,00
2021-09-19;10,00;0,00;0,00;0,00;16,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;33,75;0,00;0,00;0,00;11,00;0,00;8,00;0,00;8,33;25,00;16,67;0,00;67,50;0,00;27,50;5,00;0,00;0,00;5,00;19,00;34,00;0,00;0,00;10,00
2021-09-26;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;9,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;11,17;6,21;19,86;4,97;5,00;14,00;0,00;0,00;5,40;50,40;0,00;0,00;90,00;6,75;29,25;13,50;0,00;0,00;0,00;13,00;33,00;0,00;5,00;0,00
2021-10-03;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;6,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;44,57;9,90;11,14;0,00;8,00;0,00;0,00;16,00;0,00;45,07;17,33;0,00;78,00;13,00;10,83;0,00;13,00;0,00;0,00;11,00;31,00;0,00;0,00;6,00
2021-10-10;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;5,00;0,00;6,00;6,00;0,00;0,00;0,00;37,06;11,50;0,00;0,00;5,00;0,00;0,00;16,00;0,00;35,38;0,00;0,00;66,70;9,20;13,80;0,00;9,00;0,00;8,00;17,00;41,00;6,00;0,00;9,00
2021-10-17;28,00;0,00;0,00;0,00;0,00;16,00;6,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,78;9,74;8,52;6,09;7,00;0,00;0,00;0,00;8,75;29,75;0,00;0,00;74,67;16,33;11,67;4,67;0,00;14,00;0,00;9,00;34,00;0,00;0,00;9,00
2021-10-24;15,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;7,00;0,00;6,00;0,00;0,00;8,00;0,00;0,00;28,85;0,00;0,00;16,15;8,00;0,00;0,00;7,00;0,00;28,33;11,67;5,00;57,86;12,86;15,00;0,00;12,00;0,00;6,00;12,00;31,00;13,00;0,00;12,00
2021-10-31;21,00;0,00;0,00;9,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,94;0,00;0,00;9,88;15,00;0,00;7,00;0,00;0,00;24,50;24,50;8,75;60,67;0,00;11,67;4,67;7,00;11,00;0,00;0,00;23,00;6,00;0,00;10,00
2021-11-07;7,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,50;0,00;10,50;0,00;16,00;0,00;0,00;0,00;0,00;26,25;0,00;5,25;53,67;14,00;11,67;0,00;5,00;0,00;0,00;7,00;23,00;5,00;0,00;0,00
2021-11-14;20,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;12,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;43,75;0,00;7,50;11,25;19,00;0,00;0,00;0,00;20,00;23,64;5,45;0,00;53,33;4,44;13,33;4,44;7,00;10,00;0,00;0,00;17,00;9,00;0,00;0,00
2021-11-21;16,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;5,00;0,00;5,00;7,00;0,00;0,00;9,00;0,00;0,00;0,00;7,00;22,15;0,00;11,08;3,69;0,00;0,00;0,00;0,00;8,89;7,11;0,00;12,44;59,43;4,57;9,14;0,00;0,00;0,00;0,00;12,00;27,00;0,00;0,00;0,00
2021-11-28;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;9,00;0,00;9,00;0,00;0,00;8,00;0,00;0,00;10,00;8,75;18,75;8,75;6,00;0,00;0,00;0,00;9,09;14,55;0,00;0,00;44,44;6,67;6,67;6,67;16,00;9,00;6,00;14,00;28,00;0,00;0,00;10,00
2021-12-05;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;13,62;4,95;9,90;0,00;9,00;0,00;0,00;0,00;0,00;13,87;0,00;0,00;49,64;7,09;7,09;7,09;7,00;0,00;0,00;5,00;32,00;5,00;0,00;5,00
2021-12-12;25,00;5,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;26,19;9,52;8,33;0,00;13,00;8,00;7,00;0,00;8,93;10,71;5,36;0,00;34,09;0,00;0,00;0,00;7,00;7,00;0,00;12,00;24,00;0,00;0,00;0,00
2021-12-19;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;26,40;0,00;0,00;4,80;6,00;0,00;0,00;0,00;0,00;6,86;6,86;0,00;28,80;14,40;16,80;31,20;6,00;8,00;0,00;9,00;18,00;0,00;11,00;5,00
2021-12-26;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,20;0,00;19,20;0,00;15,00;0,00;0,00;5,00;5,29;19,41;10,59;0,00;62,31;11,54;30,00;0,00;11,00;0,00;0,00;5,00;39,00;0,00;0,00;7,00
2022-01-02;48,00;5,00;0,00;7,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;30,77;12,31;8,62;0,00;11,00;0,00;0,00;0,00;7,11;53,33;12,44;10,67;82,29;0,00;11,43;4,57;0,00;0,00;0,00;5,00;31,00;11,00;0,00;9,00
2022-01-09;10,00;0,00;0,00;10,00;0,00;0,00;6,00;0,00;0,00;8,00;0,00;0,00;16,00;0,00;5,00;6,00;0,00;0,00;0,00;33,75;0,00;7,50;6,25;18,00;0,00;0,00;0,00;0,00;26,67;0,00;0,00;92,50;7,50;25,00;12,50;0,00;0,00;0,00;8,00;23,00;0,00;0,00;0,00
2022-01-16;17,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;47,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,10;20,40;0,00;0,00;61,63;19,13;0,00;8,50;9,00;0,00;9,00;6,00;32,00;11,00;0,00;0,00
2022-01-23;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;4,00;0,00;0,00;0,00;6,00;0,00;8,00;56,45;6,14;7,36;9,82;0,00;0,00;0,00;0,00;9,00;34,20;25,20;0,00;72,00;18,00;31,50;9,00;15,00;0,00;0,00;6,00;25,00;8,00;4,00;0,00
2022-01-30;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;46,77;8,62;0,00;8,62;12,00;0,00;19,00;0,00;7,11;44,44;8,89;12,44;96,00;18,29;22,86;13,71;10,00;8,00;0,00;25,00;34,00;0,00;8,00;12,00
2022-02-06;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;57,00;0,00;13,93;0,00;18,00;7,00;7,00;10,00;12,67;72,38;0,00;5,43;114,00;21,38;19,00;19,00;16,00;0,00;7,00;13,00;57,00;6,00;0,00;0,00
2022-02-13;52,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;5,00;7,00;0,00;55,71;7,43;7,43;0,00;0,00;0,00;0,00;0,00;8,97;53,79;12,55;0,00;126,61;6,78;15,83;0,00;30,00;0,00;0,00;14,00;49,00;8,00;0,00;4,00
2022-02-20;45,00;0,00;0,00;0,00;0,00;4,00;4,00;3,00;0,00;11,00;5,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;77,50;0,00;12,50;7,50;13,00;0,00;0,00;5,00;0,00;68,40;7,20;0,00;182,25;13,50;24,75;11,25;19,00;4,00;0,00;31,00;45,00;4,00;0,00;14,00
2022-02-27;45,00;5,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;55,95;0,00;9,73;7,30;18,00;0,00;5,00;0,00;0,00;43,20;9,00;0,00;110,25;18,00;20,25;11,25;35,00;25,00;0,00;19,00;46,00;4,00;0,00;20,00
2022-03-06;57,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;6,00;0,00;0,00;0,00;55,76;12,39;21,07;0,00;17,00;0,00;8,00;0,00;5,34;53,44;12,47;5,34;88,92;20,52;34,20;15,96;29,00;0,00;0,00;14,00;24,00;10,00;0,00;6,00
2022-03-13;41,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;8,00;5,00;0,00;4,00;6,00;4,00;0,00;0,00;0,00;0,00;79,52;9,94;18,64;16,15;10,00;6,00;6,00;0,00;0,00;87,35;10,70;14,26;159,44;13,67;38,72;13,67;14,00;5,00;16,00;16,00;46,00;9,00;4,00;0,00
2022-03-20;64,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;4,00;4,00;10,00;0,00;72,62;4,92;13,54;4,92;6,00;0,00;6,00;6,00;10,67;87,11;10,67;14,22;150,86;13,71;38,86;11,43;26,00;6,00;4,00;20,00;58,00;10,00;0,00;4,00
2022-03-27;51,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;7,00;0,00;9,00;0,00;0,00;4,00;0,00;8,00;0,00;5,00;88,64;7,29;15,79;3,64;23,00;0,00;0,00;0,00;7,03;80,90;5,28;0,00;155,22;15,52;44,35;8,87;19,00;0,00;4,00;25,00;53,00;5,00;0,00;8,00
2022-04-03;53,00;5,00;0,00;0,00;0,00;0,00;5,00;3,00;4,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;6,00;73,95;8,63;9,86;9,86;11,00;9,00;4,00;5,00;17,67;67,13;12,37;5,30;163,61;18,43;29,96;16,13;17,00;8,00;0,00;28,00;48,00;22,00;3,00;15,00
2022-04-10;62,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;91,76;11,16;17,36;9,92;9,00;0,00;0,00;5,00;15,94;74,40;12,40;5,31;174,52;32,15;34,44;9,19;23,00;0,00;0,00;26,00;68,00;18,00;0,00;9,00
2022-04-17;56,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;92,52;7,30;4,87;9,74;11,00;3,00;7,00;0,00;10,84;108,39;10,84;5,42;176,96;17,92;44,80;17,92;35,00;6,00;0,00;20,00;65,00;5,00;0,00;14,00
2022-04-24;60,00;0,00;0,00;0,00;0,00;9,00;0,00;6,00;7,00;5,00;0,00;7,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;80,82;11,02;25,71;14,69;22,00;0,00;7,00;11,00;19,41;98,82;12,35;0,00;205,38;25,38;32,31;9,23;9,00;0,00;0,00;16,00;68,00;36,00;0,00;4,00
2022-05-01;88,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;92,96;7,44;13,63;0,00;18,00;0,00;6,00;0,00;8,98;120,33;7,18;0,00;231,58;18,53;34,74;16,21;46,00;5,00;7,00;31,00;69,00;12,00;0,00;14,00
2022-05-08;82,00;0,00;0,00;4,00;0,00;5,00;0,00;9,00;0,00;0,00;0,00;12,00;4,00;0,00;0,00;4,00;9,00;7,00;0,00;105,61;11,18;18,64;11,18;13,00;4,00;0,00;0,00;17,83;110,52;5,35;0,00;200,44;13,67;18,22;20,50;16,00;4,00;0,00;31,00;82,00;9,00;0,00;21,00
2022-05-15;70,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;81,05;18,42;14,74;13,51;21,00;0,00;4,00;0,00;17,95;109,49;19,74;5,38;189,00;30,33;18,67;9,33;27,00;12,00;0,00;15,00;68,00;18,00;11,00;21,00
2022-05-22;69,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;27,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;85,02;28,34;18,48;7,39;22,00;0,00;7,00;0,00;19,46;113,23;23,00;0,00;186,30;13,80;25,30;13,80;30,00;6,00;0,00;12,00;59,00;6,00;0,00;7,00
2022-05-29;100,00;0,00;0,00;7,00;0,00;0,00;0,00;9,00;0,00;0,00;5,00;17,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;75,31;9,88;25,93;11,11;21,00;4,00;0,00;7,00;21,43;103,57;14,29;7,14;170,45;18,18;29,55;6,82;26,00;0,00;7,00;23,00;85,00;10,00;0,00;14,00
2022-06-05;67,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;7,00;0,00;9,00;0,00;0,00;0,00;0,00;7,00;8,00;8,00;94,30;13,65;35,98;6,20;7,00;0,00;0,00;0,00;10,86;117,70;16,30;3,62;201,00;32,34;32,34;20,79;40,00;6,00;12,00;28,00;63,00;7,00;0,00;4,00
2022-06-12;82,00;8,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;19,00;5,00;0,00;0,00;12,00;4,00;10,00;0,00;95,46;11,01;19,58;17,13;16,00;0,00;0,00;10,00;21,39;135,48;10,70;7,13;207,28;38,72;36,44;25,06;32,00;9,00;24,00;32,00;68,00;18,00;0,00;15,00
2022-06-19;74,00;0,00;0,00;0,00;0,00;11,00;7,00;8,00;0,00;0,00;0,00;6,00;4,00;0,00;0,00;0,00;19,00;0,00;0,00;99,90;8,63;13,57;18,50;29,00;11,00;8,00;0,00;19,38;116,29;15,86;0,00;206,30;24,67;29,15;0,00;30,00;6,00;4,00;31,00;78,00;0,00;0,00;5,00
2022-06-26;77,00;0,00;0,00;0,00;10,00;0,00;10,00;15,00;0,00;0,00;4,00;15,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;100,22;9,78;18,33;15,89;11,00;5,00;0,00;0,00;25,07;130,72;26,86;7,16;178,91;22,65;27,18;6,79;38,00;6,00;0,00;17,00;80,00;12,00;6,00;20,00
2022-07-03;86,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;8,00;0,00;0,00;6,00;9,00;0,00;0,00;122,86;0,00;31,94;7,37;39,00;0,00;13,00;0,00;17,92;132,58;21,50;10,75;165,21;15,84;20,37;13,58;29,00;0,00;8,00;23,00;94,00;15,00;0,00;8,00
2022-07-10;61,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;40,00;0,00;0,00;7,00;5,00;0,00;0,00;0,00;104,57;8,71;18,67;0,00;27,00;10,00;5,00;0,00;12,56;111,24;32,29;5,38;189,78;18,07;24,85;0,00;39,00;6,00;5,00;24,00;84,00;8,00;0,00;10,00
2022-07-17;65,00;0,00;0,00;11,00;0,00;6,00;0,00;0,00;5,00;8,00;0,00;8,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;107,92;6,13;12,26;7,36;28,00;8,00;6,00;0,00;28,89;162,50;16,25;0,00;192,68;4,64;44,11;4,64;42,00;7,00;6,00;22,00;66,00;17,00;0,00;18,00
2022-07-24;77,00;6,00;0,00;9,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;9,00;0,00;14,00;0,00;0,00;80,67;11,00;25,67;8,56;39,00;0,00;0,00;0,00;21,49;130,72;14,33;0,00;183,44;13,59;11,32;9,06;24,00;0,00;10,00;21,00;86,00;15,00;0,00;23,00
2022-07-31;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;8,00;9,00;16,00;0,00;0,00;0,00;6,00;0,00;0,00;78,93;4,93;35,77;13,57;27,00;7,00;10,00;0,00;12,33;140,95;5,29;0,00;203,50;20,81;13,88;18,50;33,00;8,00;8,00;17,00;92,00;13,00;4,00;19,00
2022-08-07;68,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;10,00;0,00;13,00;0,00;0,00;0,00;0,00;4,00;0,00;6,00;82,84;7,42;12,36;6,18;21,00;6,00;10,00;6,00;16,11;125,26;7,16;0,00;151,87;22,67;18,13;15,87;34,00;23,00;0,00;30,00;56,00;12,00;0,00;8,00
2022-08-14;74,00;0,00;0,00;4,00;0,00;9,00;8,00;0,00;0,00;0,00;7,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;91,27;4,93;11,10;12,33;9,00;11,00;15,00;0,00;17,62;176,19;15,86;5,29;224,24;8,97;26,91;17,94;25,00;16,00;6,00;23,00;84,00;18,00;0,00;9,00
2022-08-21;69,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;12,00;0,00;7,00;11,00;0,00;0,00;0,00;0,00;0,00;83,79;9,86;9,86;0,00;9,00;0,00;15,00;0,00;14,15;113,23;23,00;0,00;174,80;13,80;23,00;18,40;26,00;0,00;4,00;25,00;55,00;9,00;0,00;14,00
2022-08-28;72,00;0,00;0,00;0,00;8,00;0,00;0,00;6,00;7,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;10,00;0,00;0,00;106,76;7,45;6,21;0,00;34,00;15,00;0,00;0,00;10,80;100,80;16,20;0,00;155,61;6,97;30,19;6,97;26,00;0,00;13,00;19,00;74,00;12,00;4,00;4,00
2022-09-04;44,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;15,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;101,44;0,00;22,00;13,44;24,00;6,00;0,00;0,00;24,64;72,16;14,08;10,56;162,80;13,20;19,80;4,40;12,00;0,00;12,00;22,00;63,00;12,00;0,00;0,00
2022-09-11;56,00;0,00;0,00;0,00;0,00;7,00;6,00;0,00;0,00;4,00;0,00;22,00;7,00;0,00;8,00;0,00;4,00;0,00;4,00;80,35;14,61;25,57;7,30;13,00;0,00;7,00;0,00;14,00;68,25;0,00;0,00;141,12;15,68;22,40;11,20;16,00;5,00;0,00;23,00;41,00;10,00;4,00;9,00
2022-09-18;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;17,00;13,00;0,00;0,00;0,00;6,00;0,00;0,00;51,85;7,24;13,26;9,65;0,00;0,00;4,00;0,00;8,91;85,57;16,04;0,00;159,44;29,61;20,50;15,94;20,00;6,00;5,00;33,00;68,00;0,00;0,00;11,00
2022-09-25;30,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;57,50;6,25;6,25;8,75;16,00;0,00;15,00;7,00;5,29;65,29;8,82;5,29;136,15;16,15;39,23;13,85;17,00;6,00;4,00;23,00;53,00;12,00;5,00;6,00
