Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-04-26;0,00;0,00;0,00;9,00;6,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;5,00;0,00;8,00;3,00;9,00;0,00;0,00;3,00;0,00;0,00;6,00;0,00;3,00;3,00;5,00;3,00;0,00;9,00;9,00;7,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00
2020-05-03;15,00;0,00;0,00;8,08;8,08;0,00;0,00;0,00;0,00;4,00;0,00;4,00;6,00;0,00;0,00;0,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;3,00
2020-05-10;13,00;0,00;0,00;0,00;3,55;0,00;4,00;3,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;6,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;4,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;16,00;0,00;0,00;0,00;5,71;5,00;0,00;0,00;5,00;0,00;6,00;3,00;5,00;0,00;0,00;7,00;11,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;4,00;0,00;0,00
2020-05-24;17,00;6,80;4,53;0,00;3,40;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;28,00;7,00;4,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;25,00;0,00;0,00;0,00;2,27;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;7,00;0,00;0,00;6,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;14,00;5,83;0,00;2,33;8,17;0,00;0,00;8,00;0,00;7,00;0,00;6,00;3,00;2,00;0,00;6,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;5,00;0,00;0,00;5,00;0,00;3,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;25,00;0,00;2,38;0,00;5,95;3,00;0,00;5,00;4,00;0,00;0,00;7,00;0,00;3,00;5,00;0,00;0,00;4,00;0,00;0,00;6,00;0,00;4,00;5,00;0,00;6,00;0,00;9,00;11,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00
2020-06-21;33,00;7,07;0,00;2,36;22,39;0,00;0,00;0,00;0,00;0,00;3,00;9,00;0,00;6,00;3,00;5,00;4,00;11,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;5,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00
2020-06-28;49,00;0,00;7,00;0,00;11,67;3,00;6,00;0,00;0,00;5,00;0,00;4,00;0,00;3,00;9,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;44,00;0,00;0,00;3,47;11,58;5,00;0,00;0,00;0,00;6,00;5,00;4,00;3,00;3,00;9,00;7,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;52,00;0,00;3,47;0,00;12,71;3,00;0,00;3,00;0,00;10,00;4,00;13,00;0,00;3,00;0,00;0,00;0,00;0,00;4,00;5,00;0,00;0,00;0,00;4,00;0,00;0,00;10,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
