Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
13/02/2022;31;47,53;39,27;49,6;16,53;25,83;26,87;36,17;27,9;30;23;28;15;0;15;20;12;17;16;7;22;0;44;12;0;19;15;19;32;0;10;10;0;0;11;13;13;8;0;10;6;0;0;0
20/02/2022;43;53,75;55,9;55,9;45,15;65,02;20,98;38,8;40,9;25;30;19;25;23;23;23;32;19;19;9;11;7;25;9;12;5;21;0;9;14;31;0;13;0;7;8;8;5;5;0;0;0;0;0
27/02/2022;27;54;16,62;56,08;31,15;58,15;35,31;41,54;52,96;42;30;15;8;11;37;16;27;14;34;8;10;0;6;0;6;16;0;0;33;0;0;0;0;16;7;0;0;0;0;0;0;0;0;0
06/03/2022;18;32;36;46;30;49;19;19;26;0;24;92;0;24;10;18;26;22;18;6;20;13;13;0;9;12;0;6;0;0;10;0;0;0;6;0;0;0;0;7;6;7;8;0
13/03/2022;31;48,71;59,79;31;33,21;29,93;13,9;37,41;41,69;21;40;41;6;0;0;21;7;11;19;0;10;11;12;12;0;0;6;9;12;19;0;0;21;0;0;0;0;0;0;7;0;6;6;6
20/03/2022;14;42;50;10;32;44;29;19;37;0;18;25;0;29;13;10;16;19;13;22;24;9;0;0;0;0;22;14;10;0;6;0;23;0;7;0;0;0;0;0;10;5;0;0
27/03/2022;33;92,81;41,25;53,63;35,06;57,75;29,91;22,69;69,09;37;40;30;25;20;15;14;10;15;13;10;10;0;6;8;0;15;23;11;14;0;15;0;11;6;0;14;0;17;0;5;0;0;0;7
03/04/2022;22;76;38;50;48;41;39;22;60;42;44;31;16;13;0;13;0;8;20;9;10;0;14;14;0;11;6;17;8;9;0;7;6;0;6;0;11;0;0;15;0;0;0;0
10/04/2022;18;27;33,75;29,25;27;37,06;11,65;0;34,94;10;14;0;13;9;0;16;0;7;0;0;14;0;0;10;0;5;17;23;7;19;7;9;0;21;0;0;0;0;11;0;0;0;19;0
17/04/2022;14;24;10;20;20;11;0;13;9;0;6;0;12;11;10;14;12;13;0;13;0;0;0;16;0;10;7;9;0;0;7;7;0;0;0;0;0;0;7;0;0;12;14;0
24/04/2022;16;0;0;16;6;18;10;0;10;0;0;0;7;9;0;16;8;0;0;29;7;0;0;0;0;6;0;0;0;15;0;10;0;0;0;0;5;0;0;0;0;0;0;6
01/05/2022;30;10,71;0;0;0;7,5;11,79;5,36;0;0;0;0;7;0;7;0;6;0;11;0;0;7;0;9;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;5;0;0
08/05/2022;33;0;13,2;0;0;0;6,39;0;0;0;0;0;10;0;0;10;0;0;0;16;0;0;0;0;0;9;0;6;0;6;0;0;0;6;0;8;0;0;0;6;0;0;0;0
15/05/2022;26;15,17;0;0;0;0;0;0;8,32;6;7;5;0;0;8;0;24;13;0;0;0;0;0;5;0;0;9;37;8;7;0;0;9;0;0;0;10;0;6;0;0;0;0;0
22/05/2022;26;0;13;0;0;0;0;9,36;0;0;13;19;0;12;0;0;9;7;0;10;11;21;0;6;0;0;0;10;0;0;20;7;0;0;6;7;0;0;0;0;7;0;10;0
29/05/2022;32;0;8,53;0;0;0;0;24,77;0;8;6;14;6;0;16;0;10;7;0;0;0;9;0;13;6;0;0;0;0;0;17;0;0;9;0;0;0;0;10;9;0;0;0;0
05/06/2022;37;6,53;19,59;15,24;13,06;8,46;8,46;0;0;14;13;0;18;0;28;12;8;0;9;20;0;9;0;5;0;0;8;0;0;7;0;8;0;6;0;8;0;0;0;0;0;0;12;0
12/06/2022;47;0;25,64;32,05;0;0;0;0;0;0;11;0;0;0;0;0;6;0;8;0;0;0;0;7;0;0;13;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
19/06/2022;36;8,47;8,47;0;6,35;10,59;0;14,82;0;0;0;0;0;12;9;0;0;22;0;12;0;0;0;26;0;0;17;0;0;0;7;13;0;0;0;16;0;0;10;0;8;0;0;0
26/06/2022;45;21,43;0;0;6,43;6,28;11,51;38,72;0;12;0;0;14;0;9;15;0;20;6;11;10;13;6;7;0;18;0;0;15;9;0;11;8;16;7;0;0;0;0;18;8;0;20;0
03/07/2022;31;0;22,73;8,27;0;7,48;8,55;16,03;0;0;0;13;25;0;0;11;12;14;7;7;0;0;0;20;0;12;0;19;13;15;8;0;0;0;0;25;0;0;0;40;0;0;7;0
10/07/2022;48;12,52;137,74;31,3;6,26;13,57;13,57;19,83;11,48;17;0;20;23;9;36;10;0;20;0;26;19;0;6;11;0;27;0;8;12;0;7;0;0;0;0;8;0;7;12;0;20;0;0;0
17/07/2022;55;29,62;6,35;19,04;21,15;23,27;0;31,73;0;15;0;23;35;0;10;12;17;0;7;20;10;0;0;0;0;0;0;15;0;0;8;7;0;0;0;0;0;0;0;9;11;0;17;0
24/07/2022;57;6,33;33,78;19;19;0;0;10,36;18,65;14;0;0;9;0;13;0;17;11;0;14;0;0;0;0;0;19;7;0;0;7;0;0;0;0;0;30;7;0;0;0;0;24;0;0
31/07/2022;58;0;18,64;12,43;6,21;6,21;0;17,61;8,29;0;13;23;24;9;16;0;0;24;7;11;17;0;7;19;0;0;0;0;0;0;13;20;0;0;0;8;0;17;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
