Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
05/07/2020;65;8,67;0;15,17;32,5;18,87;6,29;17,82;0;0;0;9;11;0;16;11;11;6;0;17;14;0;0;14;0;10;8;0;16;0;7;0;0;0;0;10;0;0;0;0;6;0;11;0
12/07/2020;100;0;27,66;12,77;0;0;30,21;51,04;18,75;0;22;12;16;8;20;12;0;0;7;20;0;0;0;0;0;0;19;0;8;0;0;24;0;0;9;0;0;0;0;0;0;0;0;11
19/07/2020;49;12,78;21,3;19,17;12,78;20,85;18,77;20,85;0;0;15;14;0;0;17;0;18;16;0;31;7;0;10;23;0;0;25;14;0;0;0;0;0;0;0;7;0;0;0;0;0;0;9;21
26/07/2020;60;17,14;15;19,29;0;8,28;9,31;25,86;7,24;0;0;21;0;0;18;9;17;0;0;0;0;0;0;18;13;0;19;10;10;9;18;10;0;12;0;0;0;14;0;0;20;0;0;0
02/08/2020;39;0;23,83;10,83;13;27,71;0;0;8,21;0;0;0;14;0;11;25;15;37;11;28;6;0;7;10;0;11;8;0;8;0;16;10;0;0;0;0;0;7;0;0;0;0;0;0
09/08/2020;39;0;15,17;0;21,67;15,81;18,97;12,65;7,38;6;0;22;0;8;13;0;0;12;12;7;8;0;8;11;0;9;11;0;6;6;18;0;0;0;7;0;0;0;13;0;0;0;0;0
16/08/2020;41;0;19,42;0;15,11;26,28;26,28;11,56;0;0;16;23;12;0;0;15;14;0;11;0;6;0;0;0;11;7;0;0;16;0;12;18;0;0;0;8;0;7;0;13;11;0;0;0
23/08/2020;51;8,5;17;12,75;12,75;21,86;0;38,51;7,29;0;14;10;14;0;9;17;13;0;0;0;0;0;15;0;7;8;0;7;0;0;7;0;0;0;6;0;6;0;16;0;0;0;7;0
30/08/2020;42;29,4;0;14,7;0;17,41;9,22;0;0;0;0;8;12;0;6;0;0;0;8;12;11;0;0;0;0;0;0;0;7;0;0;0;7;0;13;0;0;0;9;0;16;14;0;0
06/09/2020;25;0;10,42;0;12,5;0;0;0;8,33;21;0;12;0;0;13;0;10;12;16;0;0;0;8;0;0;0;0;0;13;0;0;0;0;0;0;12;0;0;0;8;0;18;0;0
13/09/2020;22;0;6,6;8,8;26,4;0;13,62;15,71;7,33;0;13;21;0;9;0;9;14;0;10;0;0;0;12;0;0;0;0;18;33;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0
20/09/2020;37;32,65;0;28,29;0;19,03;12,69;15,86;14,8;0;0;8;11;18;0;8;12;12;0;0;7;0;13;0;0;0;0;24;0;7;0;0;0;0;0;8;0;8;0;0;0;0;6;11
27/09/2020;24;15,27;0;15,27;15,27;27,13;25,04;0;11,48;20;0;0;0;0;0;8;0;7;0;0;10;0;0;7;0;0;0;9;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
04/10/2020;21;39,9;16,8;12,6;21;26,25;12,6;7,35;8,4;0;0;0;0;0;0;11;12;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;6;0;0;0;0;0;0;0
11/10/2020;0;13;18;0;10;22;0;6;8;6;12;0;0;6;0;12;0;23;9;0;0;0;0;0;0;8;9;0;17;0;0;11;0;22;0;0;26;0;10;0;0;0;0;0
18/10/2020;33;16,5;28,88;12,38;0;12,38;7,22;11,34;0;16;9;9;22;0;10;8;0;0;14;0;0;0;17;22;0;0;6;14;8;0;15;0;0;0;14;0;0;0;0;0;0;0;0;0
25/10/2020;9;11,25;6,75;0;0;10;6;6;0;0;0;6;7;0;0;17;0;8;0;0;0;0;0;0;0;0;0;0;0;6;0;0;7;0;0;0;0;0;0;6;0;8;0;0
01/11/2020;6;0;0;0;0;0;27;7;12;0;16;9;12;0;0;7;0;0;0;0;0;0;0;0;0;7;0;0;8;0;6;7;0;0;16;10;0;0;15;0;0;0;0;11
08/11/2020;21;0;21;12,6;6,3;6,3;0;26,25;0;7;0;8;0;0;8;11;12;22;0;12;0;10;7;6;0;0;7;0;0;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0
15/11/2020;13;0;23,83;17,33;17,33;0;16;12;10;0;12;0;15;7;17;0;7;0;0;11;0;26;9;0;6;0;13;0;16;7;11;0;8;0;0;8;0;0;0;13;0;0;0;0
22/11/2020;29;0;0;6,21;0;12,43;0;16,57;17,61;15;0;20;23;0;0;14;6;12;30;7;16;0;7;27;0;0;0;0;0;0;9;17;6;0;6;0;0;0;9;0;0;0;0;0
29/11/2020;0;14;8;4;6;13;10;0;0;0;8;14;41;23;13;24;0;0;0;0;0;0;8;0;0;0;0;0;0;0;24;17;13;0;0;0;0;0;0;19;8;0;0;0
06/12/2020;18;28;22;12;8;15,88;6,35;0;33,88;0;0;20;20;0;0;37;0;0;0;29;9;0;12;0;0;14;0;7;0;8;0;0;14;0;0;0;15;8;0;0;0;0;11;11
13/12/2020;7;18,67;21;11,67;14;24,5;0;7;16,33;0;0;0;25;0;0;23;0;7;0;19;0;0;0;0;16;15;0;15;0;6;0;0;13;0;0;0;32;0;13;8;0;0;0;0
20/12/2020;0;0;0;0;4;11;8;0;0;0;0;17;43;0;0;42;0;0;0;11;0;8;15;0;0;0;0;0;0;15;8;25;0;0;0;0;0;0;13;0;0;0;0;0
27/12/2020;10;15;20;0;32,5;13,33;41,11;17,78;15,56;13;0;0;16;0;15;43;18;0;0;0;0;0;0;14;0;0;0;8;16;0;0;0;15;0;19;15;0;0;10;0;11;0;0;15
03/01/2021;6;12;8;0;10;18;19;22;25;0;16;19;16;9;0;24;17;9;0;13;0;0;0;0;0;0;0;0;0;10;0;7;0;0;0;0;0;0;0;0;0;0;0;0
10/01/2021;23;0;0;18,82;6,27;7,32;0;11,5;0;0;17;26;27;14;0;33;11;10;0;0;19;7;17;0;0;0;0;0;0;0;7;0;0;0;7;11;0;0;0;0;0;0;0;0
17/01/2021;16;0;34,29;11,43;0;19,2;14,93;18,13;0;12;0;18;12;18;0;43;19;0;7;20;0;11;0;0;10;0;11;0;0;0;0;0;0;0;0;0;27;6;0;0;0;21;0;0
24/01/2021;15;12,86;0;0;8,57;12,86;0;0;7,5;10;0;0;13;0;0;11;10;0;0;16;0;0;17;0;0;0;0;0;6;0;9;11;0;25;7;0;6;0;0;0;21;0;0;0
31/01/2021;12;0;14,4;0;7,2;16,36;0;6,55;0;7;0;0;0;0;0;19;0;0;0;26;8;0;29;0;0;0;0;9;20;0;7;0;0;15;0;6;8;0;0;0;0;0;0;0
