Semaine;Tahiti (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2022-03-27;0,00;0,00;29,00;0,00;0,00
2022-04-03;31,00;0,00;35,00;11,00;0,00
2022-04-10;36,00;0,00;0,00;0,00;0,00
2022-04-17;52,00;0,00;31,00;0,00;0,00
2022-04-24;24,00;37,00;12,00;0,00;0,00
2022-05-01;21,00;28,00;37,00;0,00;14,00
2022-05-08;11,00;53,00;44,00;0,00;0,00
2022-05-15;12,00;0,00;30,00;0,00;0,00
2022-05-22;0,00;0,00;0,00;0,00;0,00
2022-05-29;40,00;0,00;53,00;29,00;0,00
2022-06-05;41,00;19,00;16,00;0,00;18,00
2022-06-12;22,00;0,00;29,00;0,00;0,00
2022-06-19;41,00;0,00;0,00;0,00;0,00
2022-06-26;22,00;12,00;39,00;12,00;23,00
2022-07-03;23,00;0,00;33,00;0,00;0,00
2022-07-10;46,00;27,00;69,00;0,00;0,00
2022-07-17;37,00;33,00;31,00;0,00;0,00
2022-07-24;42,00;0,00;0,00;0,00;24,00
2022-07-31;31,00;21,00;37,00;0,00;0,00
2022-08-07;37,00;29,00;47,00;15,00;0,00
2022-08-14;34,00;0,00;67,00;24,00;0,00
2022-08-21;11,00;0,00;25,00;0,00;15,00
2022-08-28;31,00;0,00;41,00;0,00;0,00
2022-09-04;14,00;0,00;16,00;0,00;0,00
2022-09-11;17,00;26,00;45,00;15,00;11,00
2022-09-18;13,00;0,00;31,00;0,00;0,00
2022-09-25;18,00;0,00;0,00;13,00;0,00
2022-10-02;49,00;0,00;47,00;12,00;34,00
2022-10-09;36,00;0,00;35,00;0,00;0,00
2022-10-16;57,00;0,00;63,00;0,00;0,00
2022-10-23;23,00;23,00;52,00;0,00;0,00
2022-10-30;0,00;18,00;58,00;24,00;18,00
2022-11-06;40,00;0,00;36,00;24,00;0,00
2022-11-13;18,00;0,00;78,00;19,00;0,00
2022-11-20;25,00;18,00;49,00;0,00;0,00
2022-11-27;65,00;34,00;22,00;21,00;0,00
2022-12-04;25,00;0,00;34,00;0,00;0,00
2022-12-11;0,00;0,00;27,00;11,00;0,00
2022-12-18;58,00;0,00;0,00;0,00;0,00
2022-12-25;49,00;0,00;74,00;13,00;40,00
2023-01-01;50,00;0,00;32,00;16,00;0,00
2023-01-08;24,00;11,00;54,00;0,00;0,00
2023-01-15;39,00;28,00;51,00;19,00;0,00
2023-01-22;43,00;0,00;35,00;0,00;0,00
2023-01-29;30,00;0,00;39,00;0,00;0,00
2023-02-05;42,00;11,00;44,00;0,00;24,00
2023-02-12;39,00;0,00;36,00;0,00;0,00
2023-02-19;51,00;0,00;26,00;0,00;0,00
2023-02-26;11,00;31,00;37,00;15,00;19,00
2023-03-05;35,00;44,00;55,00;19,00;28,00
2023-03-12;20,00;0,00;41,00;0,00;0,00
2023-03-19;66,00;24,00;42,00;34,00;0,00
2023-03-26;30,00;18,00;29,00;0,00;0,00
2023-04-02;40,00;0,00;49,00;19,00;0,00
2023-04-09;61,00;0,00;49,00;0,00;0,00
2023-04-16;40,00;20,00;28,00;22,00;0,00
2023-04-23;27,00;0,00;35,00;0,00;0,00
2023-04-30;33,00;0,00;67,00;0,00;18,00
2023-05-07;49,00;35,00;29,00;0,00;19,00
2023-05-14;14,00;51,00;34,00;0,00;31,00
2023-05-21;29,00;0,00;45,00;0,00;0,00
2023-05-28;43,00;42,00;18,00;0,00;0,00
2023-06-04;20,00;0,00;20,00;0,00;0,00
2023-06-11;61,00;50,00;29,00;0,00;0,00
