Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
29/05/2022;36;14;15;8;20;16;13;7;4
05/06/2022;28;15;11;8;17;15;12;4;3
12/06/2022;24;14;9;7;18;14;9;4;3
19/06/2022;23;11;8;7;19;14;10;4;4
26/06/2022;27;14;12;6;18;15;12;4;4
03/07/2022;27;10;9;7;18;15;11;4;4
10/07/2022;24;14;8;7;18;15;12;4;4
17/07/2022;24;12;10;7;18;15;12;4;4
24/07/2022;28;13;10;8;18;14;11;5;4
31/07/2022;29;15;9;7;20;13;14;4;4
