Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-08-16;33,00;25,03;0,00;20,48;0,00;50,00;0,00;0,00;23,00;0,00;175,15;104,08;0,00;0,00;0,00;63,46;48,23;0,00;63,56;0,00;37,89
2020-08-23;34,00;30,60;38,53;0,00;0,00;24,00;0,00;21,00;0,00;0,00;162,15;214,46;0,00;0,00;0,00;94,15;68,00;0,00;86,21;0,00;0,00
2020-08-30;26,00;31,65;0,00;0,00;0,00;19,00;0,00;27,00;25,00;31,20;119,60;80,60;23,40;0,00;31,20;101,40;46,80;0,00;65,62;23,52;0,00
2020-09-06;0,00;23,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;33,00;18,00;0,00;0,00;0,00;7,00;0,00;0,00;48,00;0,00;28,00
2020-09-13;31,00;22,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;116,25;41,33;0,00;0,00;0,00;59,42;0,00;58,28;39,68;0,00;0,00
2020-09-20;23,00;30,67;0,00;16,43;0,00;30,00;0,00;52,00;26,00;0,00;69,00;46,00;0,00;0,00;15,33;53,67;0,00;0,00;54,47;20,58;26,63
2020-09-27;17,00;17,00;0,00;46,47;0,00;0,00;0,00;28,00;0,00;0,00;34,00;53,43;0,00;22,67;14,17;22,67;0,00;0,00;14,57;0,00;0,00
2020-10-04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;16,00;0,00;27,00;23,00;6,00;5,00;0,00;8,00;0,00;0,00;17,00;0,00;0,00
2020-10-11;0,00;0,00;41,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;42,00;11,00;0,00;0,00;0,00;22,00;0,00;18,00;26,00;0,00;16,00
2020-10-18;0,00;15,00;32,00;0,00;21,00;23,00;0,00;0,00;45,00;0,00;10,00;20,00;0,00;14,00;0,00;22,00;6,00;0,00;0,00;0,00;0,00
2020-10-25;0,00;38,00;36,00;19,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;11,00;0,00;12,00;8,00;13,00;0,00;0,00;0,00
2020-11-01;0,00;0,00;0,00;11,00;0,00;0,00;35,00;38,00;0,00;0,00;6,00;9,00;0,00;0,00;15,00;6,00;0,00;0,00;49,00;0,00;0,00
2020-11-08;25,00;0,00;20,45;0,00;35,23;0,00;25,00;0,00;92,00;22,50;45,00;0,00;0,00;0,00;0,00;16,67;0,00;0,00;0,00;0,00;0,00
2020-11-15;17,00;0,00;18,13;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;48,57;0,00;0,00;0,00;0,00;0,00;0,00;18,21;0,00;14,57
2020-11-22;38,00;0,00;19,58;0,00;0,00;34,00;0,00;0,00;0,00;0,00;27,87;12,67;0,00;0,00;0,00;38,00;29,86;0,00;22,06;0,00;0,00
