Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-08-16;19,00;0,00;0,00;0,00;16,00;76,00;36,73;0,00;0,00;32,57;59,71;114,00;57,00;0,00;0,00;106,88;0,00;33,62;13,15;0,00;0,00
2020-08-23;48,00;31,00;16,00;15,00;60,00;84,32;53,19;0,00;15,57;0,00;101,33;69,33;21,33;16,00;0,00;116,57;11,43;122,32;69,68;0,00;0,00
2020-08-30;52,00;29,00;0,00;19,00;0,00;89,33;30,67;42,67;0,00;27,37;57,47;41,05;24,63;0,00;0,00;92,18;26,00;22,94;58,12;0,00;0,00
2020-09-06;36,00;0,00;0,00;15,00;0,00;78,43;65,57;0,00;0,00;0,00;38,57;48,86;46,29;0,00;0,00;49,50;0,00;21,00;57,00;16,50;18,00
2020-09-13;29,00;59,00;13,00;0,00;0,00;94,91;14,50;0,00;0,00;0,00;65,91;42,18;18,45;33,46;0,00;49,08;37,92;0,00;0,00;33,58;0,00
2020-09-20;0,00;15,00;0,00;0,00;28,00;28,00;0,00;13,00;0,00;0,00;10,00;11,00;0,00;0,00;0,00;21,00;7,00;12,00;15,00;35,00;0,00
2020-09-27;32,00;16,00;0,00;0,00;18,00;34,67;20,00;0,00;0,00;26,67;66,67;24,00;21,33;0,00;0,00;0,00;0,00;13,71;21,33;0,00;0,00
2020-10-04;81,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;13,06;0,00;51,30;37,80;0,00;16,20;0,00;0,00;0,00;0,00;0,00;18,34;0,00
2020-10-11;30,00;0,00;20,00;0,00;20,00;0,00;0,00;13,04;0,00;0,00;0,00;0,00;16,36;0,00;0,00;53,08;0,00;0,00;14,21;0,00;0,00
2020-10-18;31,00;0,00;0,00;0,00;23,00;43,13;0,00;0,00;0,00;0,00;50,73;19,73;0,00;0,00;0,00;0,00;0,00;0,00;15,50;0,00;0,00
