Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2021-05-16;49,00;38,79;24,50;79,63;0,00;0,00;0,00;19,00;0,00
2021-05-23;39,00;67,74;45,16;84,16;0,00;39,00;23,00;0,00;17,00
2021-05-30;24,00;26,00;14,00;98,00;0,00;0,00;0,00;20,00;0,00
2021-06-06;16,00;30,00;14,00;62,00;0,00;0,00;0,00;0,00;21,00
2021-06-13;33,00;51,56;35,06;101,06;28,88;27,00;19,00;0,00;0,00
2021-06-20;37,00;24,67;18,50;47,28;12,33;0,00;0,00;36,00;24,00
2021-06-27;73,00;30,42;24,33;32,44;16,22;13,00;0,00;0,00;0,00
2021-07-04;43,00;69,62;47,10;94,19;20,48;29,00;44,00;0,00;0,00
2021-07-11;60,00;86,00;0,00;82,00;0,00;35,00;0,00;64,00;15,00
2021-07-18;36,00;70,00;46,00;76,00;0,00;41,00;0,00;15,00;38,00
2021-07-25;43,00;53,24;47,10;96,24;0,00;30,00;31,00;18,00;25,00
2021-08-01;65,00;81,25;0,00;111,72;0,00;0,00;35,00;0,00;0,00
2021-08-08;59,00;69,17;87,48;91,55;0,00;0,00;0,00;18,00;26,00
2021-08-15;93,00;45,47;35,13;74,40;0,00;0,00;32,00;16,00;0,00
2021-08-22;31,00;37,20;43,40;105,40;0,00;0,00;0,00;0,00;0,00
2021-08-29;15,00;37,50;0,00;67,50;18,75;0,00;40,00;26,00;0,00
2021-09-05;59,00;26,45;40,69;69,17;0,00;18,00;0,00;21,00;0,00
2021-09-12;33,00;43,31;35,06;105,19;0,00;23,00;46,00;0,00;0,00
2021-09-19;64,00;32,00;42,00;102,00;0,00;25,00;0,00;0,00;0,00
2021-09-26;29,00;47,64;39,36;97,36;0,00;52,00;0,00;24,00;0,00
2021-10-03;44,00;100,00;34,00;100,00;0,00;19,00;0,00;0,00;22,00
2021-10-10;0,00;25,00;15,00;58,00;19,00;0,00;0,00;45,00;0,00
2021-10-17;63,00;89,42;0,00;87,39;14,23;0,00;0,00;44,00;0,00
2021-10-24;17,00;78,63;29,75;91,38;0,00;0,00;14,00;0,00;0,00
2021-10-31;41,00;176,30;63,55;59,45;24,60;21,00;0,00;0,00;0,00
2021-11-07;71,00;64,91;16,23;89,26;0,00;0,00;16,00;0,00;35,00
2021-11-14;30,00;44,00;16,00;62,00;16,00;0,00;0,00;0,00;0,00
2021-11-21;68,00;206,06;51,52;65,94;0,00;17,00;0,00;0,00;20,00
2021-11-28;18,00;100,00;44,00;102,00;24,00;0,00;46,00;0,00;0,00
2021-12-05;49,00;36,75;0,00;77,58;0,00;0,00;0,00;0,00;0,00
2021-12-12;0,00;25,00;12,00;83,00;0,00;14,00;0,00;0,00;33,00
2021-12-19;64,00;0,00;59,87;84,65;0,00;20,00;40,00;0,00;0,00
2021-12-26;78,00;86,00;56,00;82,00;0,00;0,00;0,00;21,00;0,00
2022-01-02;66,00;101,06;78,38;117,56;84,56;22,00;30,00;0,00;21,00
2022-01-09;39,00;104,68;0,00;73,89;0,00;0,00;0,00;0,00;15,00
2022-01-16;76,00;76,00;71,89;104,76;26,70;18,00;0,00;0,00;17,00
2022-01-23;0,00;18,00;27,00;26,00;10,00;0,00;21,00;0,00;0,00
2022-01-30;45,00;87,95;40,91;135,00;0,00;0,00;0,00;0,00;0,00
2022-02-06;87,00;60,70;22,26;161,86;0,00;14,00;0,00;15,00;0,00
2022-02-13;46,00;43,91;35,55;131,73;0,00;26,00;31,00;22,00;0,00
2022-02-20;69,00;34,50;48,71;75,09;0,00;12,00;23,00;0,00;23,00
2022-02-27;18,00;46,00;66,00;48,00;0,00;0,00;0,00;0,00;0,00
2022-03-06;17,00;57,38;61,63;125,38;0,00;37,00;16,00;0,00;16,00
2022-03-13;45,00;71,59;0,00;114,55;0,00;12,00;18,00;0,00;20,00
2022-03-20;0,00;12,00;35,00;62,00;0,00;27,00;16,00;0,00;26,00
2022-03-27;0,00;37,00;42,00;43,00;0,00;0,00;24,00;0,00;0,00
2022-04-03;35,00;76,18;20,59;84,41;0,00;18,00;0,00;19,00;0,00
2022-04-10;41,00;65,60;55,35;110,70;0,00;0,00;15,00;0,00;0,00
2022-04-17;60,00;64,14;78,62;130,34;0,00;23,00;0,00;34,00;0,00
2022-04-24;28,00;106,00;64,00;94,00;20,00;0,00;35,00;18,00;42,00
2022-05-01;24,00;82,00;24,00;162,00;0,00;13,00;17,00;0,00;32,00
2022-05-08;12,00;80,00;0,00;76,00;36,00;0,00;0,00;0,00;61,00
2022-05-15;13,00;84,50;21,67;99,67;0,00;0,00;59,00;0,00;0,00
2022-05-22;0,00;60,00;0,00;60,00;17,00;0,00;26,00;28,00;0,00
2022-05-29;46,00;42,00;20,00;68,00;0,00;0,00;14,00;0,00;0,00
2022-06-05;47,00;34,74;0,00;69,48;0,00;0,00;0,00;0,00;22,00
2022-06-12;25,00;47,92;0,00;91,67;0,00;23,00;0,00;0,00;0,00
2022-06-19;47,00;28,61;53,13;61,30;0,00;0,00;0,00;0,00;0,00
2022-06-26;26,00;68,00;68,00;110,00;0,00;0,00;25,00;0,00;14,00
2022-07-03;26,00;38,00;0,00;102,00;0,00;0,00;0,00;0,00;0,00
2022-07-10;53,00;59,12;26,50;103,96;0,00;16,00;21,00;0,00;31,00
2022-07-17;42,00;98,00;108,00;94,00;24,00;0,00;18,00;15,00;38,00
2022-07-24;48,00;114,78;62,61;75,13;0,00;0,00;23,00;0,00;0,00
2022-07-31;35,00;84,41;39,12;129,71;0,00;0,00;19,00;0,00;24,00
2022-08-07;43,00;51,19;57,33;165,86;0,00;0,00;16,00;0,00;33,00
2022-08-14;39,00;34,89;26,68;90,32;0,00;32,00;20,00;0,00;0,00
2022-08-21;13,00;28,17;54,17;121,33;0,00;0,00;37,00;0,00;0,00
2022-08-28;36,00;120,00;54,00;168,00;22,00;36,00;0,00;0,00;0,00
2022-09-04;16,00;50,00;62,00;102,00;0,00;29,00;0,00;0,00;0,00
2022-09-11;20,00;56,00;30,00;62,00;16,00;0,00;16,00;0,00;30,00
2022-09-18;15,00;45,00;0,00;156,43;25,71;0,00;47,00;25,00;0,00
2022-09-25;21,00;44,10;0,00;119,70;0,00;0,00;24,00;15,00;0,00
2022-10-02;56,00;68,44;45,63;93,33;0,00;0,00;18,00;0,00;0,00
2022-10-09;41,00;59,45;16,40;98,40;0,00;0,00;0,00;40,00;0,00
2022-10-16;65,00;85,31;42,66;87,34;0,00;0,00;0,00;0,00;0,00
2022-10-23;26,00;72,00;34,00;114,00;0,00;0,00;0,00;0,00;26,00
2022-10-30;0,00;25,00;26,00;45,00;0,00;0,00;28,00;0,00;21,00
2022-11-06;46,00;117,09;0,00;98,27;18,82;21,00;50,00;0,00;0,00
2022-11-13;20,00;64,00;76,00;76,00;0,00;0,00;38,00;0,00;0,00
2022-11-20;28,00;54,00;16,00;94,00;0,00;0,00;49,00;0,00;20,00
2022-11-27;74,00;53,44;14,39;106,89;0,00;0,00;38,00;20,00;39,00
2022-12-04;29,00;97,36;37,29;60,07;0,00;0,00;17,00;13,00;0,00
2022-12-11;0,00;36,00;12,00;35,00;0,00;0,00;0,00;0,00;0,00
2022-12-18;66,00;92,81;47,44;117,56;0,00;26,00;0,00;0,00;0,00
2022-12-25;56,00;134,00;84,00;132,00;0,00;25,00;0,00;16,00;0,00
2023-01-01;58,00;178,14;70,43;128,43;0,00;59,00;18,00;0,00;0,00
2023-01-08;28,00;66,00;56,00;130,00;20,00;0,00;0,00;29,00;12,00
2023-01-15;45,00;102,27;75,68;96,14;0,00;52,00;0,00;0,00;32,00
2023-01-22;49,00;106,17;104,13;128,63;18,38;25,00;31,00;0,00;0,00
2023-01-29;35,00;47,35;26,76;80,29;0,00;14,00;19,00;17,00;0,00
2023-02-05;48,00;72,00;60,00;66,00;0,00;25,00;16,00;0,00;13,00
2023-02-12;45,00;57,27;57,27;90,00;0,00;18,00;15,00;13,00;0,00
2023-02-19;58,00;138,00;36,00;130,00;0,00;0,00;0,00;57,00;0,00
2023-02-26;13,00;67,17;36,83;71,50;15,17;17,00;24,00;0,00;35,00
2023-03-05;40,00;64,00;0,00;130,00;0,00;0,00;0,00;0,00;50,00
2023-03-12;23,00;60,64;43,91;133,82;0,00;0,00;38,00;0,00;0,00
2023-03-19;75,00;60,81;22,30;85,14;0,00;0,00;0,00;0,00;27,00
2023-03-26;35,00;113,24;65,88;168,82;12,35;0,00;17,00;0,00;20,00
2023-04-02;46,00;108,00;56,00;100,00;0,00;54,00;25,00;0,00;0,00
2023-04-09;70,00;63,82;45,29;117,35;14,41;25,00;0,00;0,00;0,00
2023-04-16;46,00;104,55;33,45;131,73;0,00;17,00;36,00;0,00;23,00
2023-04-23;31,00;22,73;64,07;144,67;0,00;0,00;57,00;0,00;0,00
2023-04-30;38,00;36,00;20,00;94,00;0,00;14,00;46,00;0,00;0,00
2023-05-07;56,00;56,00;26,00;86,00;0,00;34,00;0,00;22,00;40,00
2023-05-14;16,00;26,00;0,00;118,00;0,00;0,00;27,00;26,00;59,00
2023-05-21;33,00;35,06;0,00;99,00;14,44;0,00;16,00;0,00;0,00
2023-05-28;49,00;69,42;20,42;32,67;0,00;0,00;0,00;0,00;48,00
2023-06-04;23,00;69,00;50,18;71,09;0,00;0,00;20,00;0,00;0,00
2023-06-11;48,00;54,00;22,00;102,00;0,00;0,00;0,00;18,00;28,00
