Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-06-21;43,00;29,42;20,37;22,63;11,32;7,82;0,00;9,12;15,64;18,00;0,00;0,00;21,00;0,00;15,00;0,00;19,00;12,00;0,00;0,00;11,00;17,00;0,00;0,00;0,00;0,00;8,00;0,00
2020-06-28;95,00;27,80;13,90;13,90;32,44;16,92;7,81;14,32;0,00;27,00;37,00;21,00;0,00;0,00;8,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00
2020-07-05;99,00;20,72;27,63;0,00;11,51;35,17;15,63;0,00;14,33;15,00;12,00;0,00;11,00;0,00;0,00;0,00;15,00;63,00;0,00;0,00;0,00;16,00;0,00;9,00;0,00;0,00;0,00;0,00
2020-07-12;99,00;9,21;23,02;9,21;0,00;0,00;20,84;0,00;0,00;25,00;27,00;0,00;15,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00
2020-07-19;66,00;0,00;66,00;9,10;27,31;0,00;0,00;0,00;0,00;33,00;33,00;0,00;22,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;30,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00
2020-07-26;87,00;9,16;18,32;36,63;18,32;0,00;15,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-02;57,00;0,00;45,60;0,00;20,52;37,12;15,91;13,26;0,00;35,00;46,00;12,00;13,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00
2020-08-09;45,00;22,50;33,75;20,25;24,75;27,00;10,29;27,00;0,00;38,00;0,00;0,00;0,00;10,00;35,00;0,00;38,00;0,00;12,00;16,00;12,00;0,00;17,00;0,00;34,00;0,00;0,00;0,00
2020-08-16;63,00;0,00;33,75;20,25;11,25;19,29;0,00;9,00;20,57;12,00;19,00;15,00;0,00;9,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00
2020-08-23;78,00;18,35;9,18;13,76;34,41;0,00;15,60;0,00;18,20;20,00;21,00;0,00;16,00;0,00;16,00;20,00;14,00;0,00;33,00;48,00;0,00;0,00;9,00;0,00;0,00;20,00;0,00;0,00
2020-08-30;87,00;20,61;20,61;18,32;11,45;0,00;0,00;0,00;0,00;16,00;13,00;0,00;14,00;9,00;0,00;15,00;16,00;27,00;0,00;22,00;12,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2020-09-06;78,00;0,00;16,06;0,00;0,00;19,50;27,30;14,30;0,00;18,00;13,00;21,00;0,00;0,00;26,00;10,00;0,00;0,00;27,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;18,00;0,00
2020-09-13;9,00;0,00;24,75;0,00;13,50;18,00;0,00;0,00;0,00;17,00;18,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;42,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;10,00
2020-09-20;21,00;0,00;16,33;9,33;25,67;35,44;11,81;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00
2020-09-27;23,00;52,90;34,50;36,80;13,80;17,89;25,56;0,00;8,94;0,00;10,00;30,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;23,00;27,60;36,80;0,00;20,70;17,59;0,00;18,94;16,24;0,00;19,00;0,00;0,00;31,00;0,00;0,00;0,00;17,00;22,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00
2020-10-11;11,00;33,00;24,20;0,00;13,20;14,67;0,00;0,00;14,67;0,00;0,00;11,00;0,00;10,00;9,00;25,00;0,00;10,00;0,00;0,00;14,00;0,00;0,00;0,00;12,00;0,00;14,00;0,00
2020-10-18;0,00;0,00;10,00;0,00;13,00;0,00;0,00;0,00;0,00;52,00;11,00;0,00;0,00;12,00;13,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-25;27,00;9,00;40,50;18,00;0,00;0,00;19,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;9,00;0,00
2020-11-01;0,00;0,00;0,00;10,00;9,00;0,00;16,00;0,00;7,00;17,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;25,00;0,00;15,00;9,00;20,00;0,00;12,00;14,00;0,00;0,00
2020-11-08;18,00;9,00;31,50;11,25;20,25;0,00;21,86;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00
2020-11-15;22,00;30,80;24,20;0,00;0,00;20,71;25,88;16,82;16,82;16,00;0,00;0,00;0,00;0,00;11,00;0,00;30,00;0,00;11,00;12,00;0,00;0,00;13,00;25,00;0,00;11,00;0,00;32,00
2020-11-22;23,00;13,80;11,50;9,20;25,30;17,89;29,39;0,00;0,00;0,00;14,00;0,00;38,00;11,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;15,00;9,00
2020-11-29;0,00;17,00;12,00;0,00;8,00;17,00;0,00;0,00;12,00;18,00;0,00;0,00;0,00;12,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00
2020-12-06;0,00;4,00;13,00;10,00;0,00;0,00;12,00;9,00;0,00;15,00;25,00;0,00;0,00;0,00;21,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2020-12-13;13,00;13,00;19,50;10,83;0,00;9,10;18,20;0,00;0,00;0,00;0,00;9,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2020-12-20;45,00;0,00;0,00;13,50;0,00;47,65;33,09;18,53;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;10,00;23,00;0,00;0,00;0,00;14,00;0,00;0,00;11,00
2020-12-27;32,00;0,00;59,43;0,00;13,71;10,67;26,67;0,00;12,00;18,00;0,00;11,00;10,00;0,00;0,00;15,00;0,00;0,00;23,00;0,00;0,00;0,00;30,00;0,00;0,00;24,00;18,00;0,00
2021-01-03;0,00;6,00;0,00;4,00;0,00;0,00;14,00;8,00;9,00;15,00;0,00;8,00;25,00;16,00;0,00;0,00;0,00;0,00;23,00;16,00;0,00;0,00;0,00;15,00;16,00;0,00;0,00;0,00
2021-01-10;37,00;9,25;0,00;13,88;18,50;0,00;13,21;10,57;15,86;9,00;12,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;9,00;12,00;0,00
2021-01-17;11,00;0,00;0,00;0,00;0,00;0,00;9,78;22,00;0,00;13,00;14,00;14,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00
2021-01-24;20,00;13,33;37,78;15,56;31,11;0,00;10,67;0,00;9,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;9,00;14,00;0,00;0,00;0,00
2021-01-31;14,00;0,00;14,00;0,00;25,67;12,73;50,91;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00
2021-02-07;39,00;0,00;0,00;0,00;0,00;16,90;0,00;0,00;23,40;0,00;0,00;18,00;10,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;16,00;11,00;0,00;20,00;0,00;0,00;0,00;0,00
2021-02-14;0,00;5,00;0,00;8,00;10,00;23,00;0,00;0,00;9,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00
2021-02-21;21,00;23,33;21,00;0,00;0,00;9,19;36,75;0,00;10,50;0,00;0,00;0,00;20,00;0,00;11,00;0,00;0,00;0,00;12,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-28;24,00;17,45;0,00;0,00;26,18;0,00;20,21;21,47;0,00;13,00;23,00;13,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-07;0,00;0,00;24,00;0,00;4,00;0,00;9,00;18,00;0,00;0,00;0,00;27,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;18,00;0,00;0,00
2021-03-14;0,00;4,00;8,00;4,00;11,00;0,00;0,00;0,00;0,00;8,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;16,00;0,00;0,00;0,00;0,00;0,00
2021-03-21;14,00;11,67;14,00;0,00;16,33;0,00;0,00;0,00;0,00;0,00;0,00;38,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;24,00;0,00;0,00;0,00;0,00;0,00
2021-03-28;0,00;8,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;14,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;27,00;0,00;0,00;16,00;0,00;0,00;16,00;37,00;0,00;0,00
2021-04-04;25,00;0,00;0,00;0,00;18,18;53,95;0,00;10,53;0,00;20,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;17,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;0,00;4,00;6,00;5,00;0,00;14,00;0,00;0,00;9,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-18;16,00;0,00;9,14;18,29;0,00;0,00;11,08;11,08;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00
2021-04-25;34,00;0,00;11,33;0,00;0,00;35,31;0,00;0,00;0,00;0,00;0,00;0,00;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-02;22,00;13,20;22,00;0,00;24,20;14,24;9,06;0,00;12,94;9,00;21,00;0,00;10,00;0,00;15,00;19,00;32,00;9,00;0,00;0,00;0,00;0,00;15,00;24,00;0,00;0,00;0,00;11,00
2021-05-09;38,00;24,59;13,41;0,00;13,41;19,66;0,00;14,41;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;20,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-16;31,00;0,00;33,21;0,00;13,29;0,00;0,00;12,92;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-23;38,00;13,41;15,65;0,00;0,00;0,00;0,00;36,69;0,00;0,00;0,00;0,00;0,00;0,00;31,00;11,00;0,00;0,00;22,00;17,00;18,00;0,00;0,00;0,00;0,00;0,00;23,00;11,00
2021-05-30;14,00;9,33;0,00;0,00;0,00;0,00;0,00;12,73;11,45;15,00;13,00;0,00;0,00;0,00;27,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;56,00;0,00;0,00;0,00;0,00
