Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-08-16;57,00;42,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61,07;85,50;0,00;62,43;0,00;43,43;0,00;0,00;0,00;0,00;0,00
2020-08-23;48,00;0,00;0,00;21,00;0,00;0,00;34,00;0,00;0,00;16,00;36,00;68,00;0,00;0,00;26,67;90,67;0,00;0,00;0,00;0,00;0,00
2020-08-30;0,00;13,00;0,00;11,00;0,00;30,00;0,00;0,00;19,00;0,00;8,00;18,00;0,00;7,00;0,00;11,00;9,00;31,00;0,00;0,00;0,00
2020-09-06;0,00;10,00;41,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;22,00
2020-09-13;37,00;35,52;0,00;25,16;0,00;22,00;0,00;0,00;0,00;16,44;32,89;49,33;0,00;0,00;0,00;23,79;39,64;0,00;0,00;0,00;0,00
2020-09-20;0,00;0,00;0,00;0,00;0,00;0,00;34,00;57,00;52,00;0,00;0,00;4,00;0,00;9,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;15,00;15,00;0,00;28,50;25,50;0,00;0,00;0,00;0,00;0,00;37,50;22,50;22,50;0,00;22,50;0,00;0,00;0,00;16,36;0,00;0,00
2020-10-04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;11,00;0,00;0,00;9,00;10,00;0,00;0,00;0,00;0,00
2020-10-11;51,00;18,94;0,00;0,00;26,23;36,00;0,00;32,00;18,00;0,00;0,00;55,25;0,00;0,00;0,00;61,74;29,53;0,00;0,00;17,45;0,00
2020-10-18;0,00;13,00;0,00;0,00;26,00;0,00;0,00;88,00;42,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;26,00
