Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-06-21;27,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;10,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;3,00;10,00;7,00;0,00;0,00;0,00
2020-06-28;54,00;0,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;6,11;3,06;0,00;3,06;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2020-07-05;51,00;0,00;8,00;0,00;0,00;13,00;6,00;0,00;4,00;11,00;17,00;10,00;0,00;0,00;4,00;0,00;7,00;0,00;3,06;0,00;6,12;0,00;15,00;0,00;0,00;0,00;4,00;0,00
2020-07-12;60,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;6,00;4,00;0,00;0,00;0,00;0,00;7,00;0,00;4,07;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;7,00
2020-07-19;63,00;0,00;0,00;0,00;0,00;0,00;4,00;5,00;0,00;4,00;6,00;7,00;7,00;0,00;0,00;4,00;6,00;4,13;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;47,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;11,00;0,00;0,00;0,00;0,00;5,00;11,00;0,00;0,00;4,09;4,09;0,00;0,00;6,00;5,00;0,00;0,00;0,00
2020-08-02;66,00;0,00;7,00;0,00;17,00;0,00;0,00;0,00;11,00;10,00;13,00;17,00;7,00;0,00;0,00;15,00;3,00;0,00;0,00;6,19;3,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-09;50,00;0,00;8,00;9,00;7,00;5,00;0,00;0,00;0,00;6,00;0,00;17,00;20,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;11,46;4,00;4,00;0,00;0,00;0,00;0,00;6,00
2020-08-16;64,00;3,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00;3,00;13,00;3,00;3,00;0,00;0,00;9,00;0,00;5,16;0,00;0,00;14,45;0,00;0,00;0,00;3,00;0,00;7,00;0,00
2020-08-23;43,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;3,07;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-30;35,00;7,00;3,00;0,00;0,00;8,00;0,00;5,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;5,00;0,00;0,00;0,00;6,00;0,00;0,00
2020-09-06;42,00;0,00;0,00;7,00;3,00;0,00;0,00;9,00;0,00;0,00;3,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;38,00;0,00;0,00;4,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;4,00;5,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;4,11;0,00;0,00;3,00;0,00;0,00;0,00;0,00
