Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2020-08-16;34,00;18,00;3,00;7,00;12,00;4,00;14,00;13,00;0,00;0,00;2,00;5,00;0,00;0,00;2,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-08-23;28,00;11,00;0,00;6,00;23,00;4,00;13,00;10,00;0,00;0,00;2,00;7,00;2,00;2,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-08-30;25,00;14,00;7,00;0,00;8,00;5,00;7,00;9,00;0,00;0,00;2,00;4,00;0,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00
2020-09-06;14,00;16,00;13,00;8,00;6,00;9,00;6,00;10,00;0,00;0,00;0,00;9,00;5,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;9,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;2,00;0,00;0,00;0,00;6,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00
2020-09-20;14,00;6,00;0,00;5,00;6,00;0,00;7,00;11,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2020-09-27;9,00;0,00;3,00;0,00;4,00;0,00;3,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-10-04;7,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;3,00
2020-10-11;6,00;3,00;0,00;0,00;3,00;0,00;0,00;5,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-10-18;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00
2020-10-25;26,00;5,00;0,00;0,00;3,00;13,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;5,00;0,00;0,00;0,00;0,00
2020-11-01;8,00;2,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;4,00;2,00;0,00;0,00;6,00;0,00;4,00;0,00;0,00
2020-11-08;5,00;11,00;0,00;0,00;3,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;9,00;6,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;3,00;2,00
2020-11-22;5,00;8,00;0,00;0,00;3,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;5,00;0,00
2020-11-29;3,00;4,00;7,00;0,00;2,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-06;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00
2020-12-13;4,00;0,00;0,00;0,00;0,00;3,00;0,00;4,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-20;12,00;7,00;0,00;9,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-12-27;8,00;7,00;3,00;0,00;4,00;0,00;4,00;8,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-03;0,00;2,00;4,00;0,00;0,00;8,00;2,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00
2021-01-10;7,00;2,00;4,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-17;6,00;4,00;0,00;5,00;0,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;2,00;2,00;0,00
2021-01-24;9,00;3,00;4,00;8,00;0,00;2,00;4,00;3,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-31;8,00;9,00;0,00;0,00;4,00;0,00;4,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2021-02-07;5,00;0,00;0,00;8,00;4,00;0,00;0,00;2,00;0,00;3,00;5,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;3,00;0,00;2,00
2021-02-14;11,00;2,00;0,00;4,00;5,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;2,00;0,00
2021-02-21;0,00;4,00;3,00;3,00;0,00;9,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2021-02-28;12,00;4,00;10,00;3,00;3,00;3,00;4,00;5,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-07;10,00;7,00;6,00;7,00;0,00;8,00;0,00;4,00;0,00;0,00;4,00;3,00;3,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-03-14;13,00;4,00;7,00;0,00;4,00;4,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-21;12,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;3,00;0,00
