Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
01/11/2020;11;11;0;0;0;0;0;13;31;0;8;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
08/11/2020;11;0;0;7,33;7,33;0;0;0;21;12;0;0;0;0;0;7;0;0;28,88;8,25;0;0;0;0;0;0;19;10
15/11/2020;13;13;0;9,75;13;0;13;0;0;0;12;37;0;0;0;0;0;0;0;0;15,6;9;0;0;6;0;0;0
22/11/2020;0;6;3;0;0;0;21;0;0;0;22;0;0;0;0;0;0;6;0;0;0;7;11;0;0;0;0;0
29/11/2020;8;32;24;0;8;8;7;0;20;0;6;6;0;0;6;30;0;0;0;0;6,67;8;0;0;0;9;0;7
06/12/2020;18;10,8;7,2;0;0;9;8;0;0;0;0;0;0;0;0;0;0;0;0;9,69;0;0;10;0;0;0;0;0
13/12/2020;0;2;6;3;2;0;0;0;6;0;0;0;25;0;9;0;6;0;8;23;0;7;0;0;0;7;0;0
20/12/2020;27;16,88;33,75;0;0;0;0;15;0;0;0;0;0;0;0;0;28;0;0;18,9;21,6;0;0;0;7;0;0;0
27/12/2020;23;16,43;0;0;19,71;0;31;0;11;0;0;0;0;0;0;0;0;0;10,82;9,47;8,12;14;0;7;0;0;0;0
03/01/2021;39;10,64;0;0;10,64;0;0;0;22;0;0;8;11;0;0;5;0;0;0;6,72;0;0;0;9;0;0;0;0
10/01/2021;23;0;9,86;13,14;13,14;7;11;0;0;0;25;8;0;0;13;0;0;0;0;0;7,67;0;7;7;0;11;20;0
17/01/2021;8;0;16;0;0;0;0;8;0;0;8;6;0;0;0;0;10;0;0;12;0;0;0;0;0;0;0;0
24/01/2021;44;10,15;0;0;0;0;14;6;0;9;7;0;0;0;0;0;0;0;13,33;0;9,33;0;0;7;0;0;0;0
31/01/2021;78;16,96;0;0;6,78;0;7;0;0;26;11;0;0;0;0;0;0;0;9,41;0;0;0;0;13;0;0;0;24
07/02/2021;19;0;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;6,79;0;0;0;0;0;0;11;0;0
14/02/2021;11;0;11;0;0;0;0;0;0;0;0;6;0;0;7;0;0;0;0;0;0;0;0;0;0;9;18;0
21/02/2021;23;6,57;6,57;23;9,86;0;0;0;0;7;0;0;39;0;0;0;0;0;0;5,41;13,53;0;0;0;0;0;0;0
28/02/2021;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,67;0;0;0;0;0;0;0;0;0
07/03/2021;11;0;0;0;0;0;23;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/03/2021;0;0;0;3;0;0;0;0;0;10;0;0;7;0;0;5;0;0;0;0;0;11;0;0;14;0;0;0
21/03/2021;8;0;8;0;0;0;0;0;9;0;8;5;0;0;13;7;0;0;0;0;0;0;0;6;0;0;0;0
28/03/2021;17;10,2;20,4;6,8;6,8;0;7;0;8;0;0;0;0;9;0;0;0;0;6,54;11,77;0;0;10;0;13;14;7;0
04/04/2021;13;6,5;0;0;0;6;0;11;6;0;10;0;0;10;0;0;16;0;0;0;7,22;10;11;0;6;13;19;0
11/04/2021;0;0;0;2;0;5;0;14;17;0;0;0;0;16;0;0;11;0;0;0;0;0;0;0;0;8;0;0
18/04/2021;0;4;0;0;0;0;10;0;6;0;11;0;0;5;0;0;0;4;0;7;0;7;0;9;0;0;11;0
25/04/2021;11;0;0;0;0;0;0;9;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
02/05/2021;21;0;0;0;0;0;7;0;0;0;21;0;5;5;7;0;8;0;5,25;0;0;5;0;7;0;0;0;0
09/05/2021;21;0;0;7;10,5;0;0;0;0;6;0;6;0;0;0;0;6;0;0;0;0;0;0;0;9;9;0;0
16/05/2021;10;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;11,25;0;0;0;0;0;0;0;0
23/05/2021;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
30/05/2021;0;0;0;0;5;0;0;0;0;0;10;0;0;0;0;0;23;0;0;0;0;6;0;0;0;11;20;8
06/06/2021;16;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0
13/06/2021;21;7;0;7;0;0;0;0;6;36;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0
