Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2021-05-16;31,00;107,09;59,18;53,55;39,45;0,00;11,00;18,00;0,00
2021-05-23;32,00;56,00;34,67;74,67;0,00;14,00;0,00;20,00;0,00
2021-05-30;43,00;69,88;43,00;77,94;13,44;0,00;22,00;0,00;0,00
2021-06-06;32,00;96,00;56,00;82,67;0,00;0,00;0,00;12,00;0,00
2021-06-13;0,00;32,00;20,00;35,00;7,00;25,00;0,00;11,00;0,00
2021-06-20;27,00;89,10;51,30;72,90;0,00;31,00;36,00;19,00;0,00
2021-06-27;27,00;105,30;54,00;81,00;0,00;0,00;13,00;15,00;0,00
2021-07-04;23,00;125,22;58,78;86,89;0,00;0,00;21,00;9,00;0,00
2021-07-11;21,00;78,75;34,13;78,75;0,00;0,00;0,00;22,00;11,00
2021-07-18;34,00;102,00;49,69;86,31;23,54;11,00;11,00;17,00;0,00
2021-07-25;55,00;57,62;34,05;86,43;0,00;41,00;24,00;0,00;0,00
2021-08-01;15,00;80,00;22,50;67,50;0,00;0,00;56,00;0,00;0,00
2021-08-08;23,00;84,33;76,67;115,00;0,00;0,00;25,00;0,00;34,00
2021-08-15;17,00;87,83;28,33;76,50;0,00;15,00;0,00;23,00;0,00
2021-08-22;30,00;57,27;24,55;103,64;0,00;10,00;0,00;33,00;0,00
2021-08-29;58,00;58,00;42,18;92,27;0,00;0,00;22,00;0,00;0,00
2021-09-05;0,00;18,00;8,00;25,00;0,00;0,00;45,00;0,00;10,00
2021-09-12;18,00;46,29;46,29;84,86;0,00;0,00;19,00;19,00;0,00
2021-09-19;42,00;70,88;10,50;60,38;0,00;0,00;10,00;21,00;0,00
2021-09-26;33,00;52,25;22,00;79,75;0,00;0,00;0,00;0,00;30,00
2021-10-03;0,00;21,00;7,00;49,00;0,00;11,00;29,00;24,00;16,00
2021-10-10;11,00;30,25;55,00;99,00;0,00;0,00;0,00;0,00;22,00
2021-10-17;15,00;55,00;52,50;100,00;15,00;0,00;13,00;0,00;12,00
2021-10-24;11,00;79,75;35,75;134,75;0,00;0,00;37,00;10,00;0,00
2021-10-31;82,00;121,68;47,61;140,19;10,58;21,00;12,00;0,00;0,00
2021-11-07;0,00;45,00;15,00;41,00;0,00;0,00;33,00;16,00;0,00
2021-11-14;27,00;75,60;27,00;126,90;0,00;0,00;10,00;0,00;0,00
2021-11-21;35,00;150,77;18,85;86,15;10,77;0,00;12,00;0,00;9,00
2021-11-28;0,00;29,00;14,00;30,00;8,00;0,00;26,00;0,00;0,00
2021-12-05;25,00;63,89;38,89;105,56;0,00;0,00;25,00;0,00;0,00
2021-12-12;15,00;105,00;37,50;92,50;0,00;0,00;0,00;0,00;0,00
2021-12-19;29,00;145,00;44,82;126,55;0,00;0,00;13,00;21,00;26,00
2021-12-26;32,00;117,33;64,00;138,67;0,00;0,00;16,00;25,00;17,00
2022-01-02;13,00;124,80;96,20;143,00;23,40;25,00;19,00;0,00;0,00
2022-01-09;65,00;105,63;102,92;108,33;13,54;0,00;0,00;11,00;0,00
2022-01-16;25,00;105,56;63,89;152,78;0,00;0,00;30,00;0,00;0,00
2022-01-23;39,00;86,36;83,57;122,57;0,00;12,00;0,00;0,00;0,00
2022-01-30;0,00;45,00;19,00;78,00;0,00;0,00;0,00;0,00;0,00
2022-02-06;37,00;55,50;60,79;118,93;13,21;31,00;0,00;0,00;0,00
2022-02-13;27,00;129,60;59,40;113,40;0,00;10,00;0,00;20,00;0,00
2022-02-20;11,00;93,50;52,25;148,50;0,00;63,00;13,00;42,00;0,00
2022-02-27;0,00;47,00;21,00;45,00;3,00;0,00;0,00;0,00;0,00
2022-03-06;10,00;112,50;50,00;80,00;0,00;12,00;0,00;0,00;0,00
2022-03-13;0,00;42,00;26,00;40,00;4,00;25,00;10,00;0,00;13,00
2022-03-20;35,00;140,00;70,00;121,15;0,00;8,00;0,00;11,00;0,00
2022-03-27;8,00;146,67;45,33;144,00;0,00;12,00;8,00;24,00;10,00
2022-04-03;16,00;117,33;82,67;189,33;0,00;11,00;0,00;0,00;17,00
2022-04-10;43,00;147,81;37,63;126,31;26,88;10,00;30,00;0,00;22,00
2022-04-17;22,00;104,50;60,50;129,25;0,00;0,00;37,00;13,00;18,00
2022-04-24;21,00;133,88;39,38;157,50;0,00;17,00;32,00;14,00;0,00
2022-05-01;34,00;83,69;36,62;102,00;0,00;0,00;14,00;0,00;0,00
2022-05-08;30,00;65,45;35,45;103,64;0,00;0,00;0,00;9,00;0,00
2022-05-15;43,00;91,38;29,56;112,88;0,00;0,00;0,00;0,00;0,00
2022-05-22;18,00;66,86;54,00;72,00;0,00;0,00;0,00;20,00;0,00
2022-05-29;37,00;97,79;58,14;87,21;0,00;14,00;21,00;0,00;11,00
2022-06-05;41,00;71,07;51,93;103,87;0,00;11,00;9,00;0,00;0,00
2022-06-12;13,00;59,80;57,20;88,40;0,00;0,00;14,00;11,00;0,00
2022-06-19;48,00;72,00;29,33;120,00;10,67;0,00;11,00;0,00;12,00
2022-06-26;35,00;99,62;10,77;99,62;0,00;0,00;21,00;17,00;13,00
2022-07-03;34,00;102,00;44,46;130,77;0,00;0,00;11,00;11,00;0,00
2022-07-10;35,00;94,23;59,23;153,46;0,00;20,00;0,00;0,00;0,00
2022-07-17;20,00;122,86;62,86;117,14;0,00;0,00;0,00;0,00;23,00
2022-07-24;23,00;109,89;74,11;120,11;0,00;40,00;14,00;10,00;0,00
2022-07-31;34,00;78,46;34,00;128,15;0,00;0,00;0,00;13,00;0,00
2022-08-07;31,00;62,00;28,42;116,25;0,00;0,00;17,00;37,00;15,00
2022-08-14;0,00;36,00;14,00;27,00;7,00;0,00;10,00;0,00;0,00
2022-08-21;14,00;86,80;47,60;100,80;0,00;0,00;14,00;0,00;39,00
2022-08-28;23,00;57,50;31,63;92,00;20,13;0,00;0,00;0,00;0,00
2022-09-04;28,00;75,60;28,00;112,00;0,00;0,00;20,00;13,00;0,00
2022-09-11;26,00;75,40;28,60;109,20;18,20;20,00;0,00;0,00;0,00
2022-09-18;0,00;23,00;20,00;52,00;0,00;11,00;12,00;0,00;0,00
2022-09-25;12,00;57,00;36,00;87,00;0,00;20,00;0,00;0,00;0,00
2022-10-02;31,00;59,42;25,83;103,33;0,00;0,00;32,00;0,00;0,00
2022-10-09;17,00;65,17;14,17;119,00;11,33;21,00;23,00;0,00;0,00
2022-10-16;23,00;76,67;38,33;94,56;15,33;0,00;24,00;31,00;0,00
2022-10-23;43,00;80,63;67,19;112,88;0,00;0,00;17,00;0,00;0,00
2022-10-30;20,00;102,50;57,50;97,50;0,00;0,00;25,00;0,00;0,00
2022-11-06;25,00;77,78;36,11;77,78;13,89;0,00;16,00;25,00;10,00
2022-11-13;14,00;106,40;53,20;89,60;0,00;0,00;23,00;0,00;0,00
2022-11-20;30,00;68,18;38,18;76,36;0,00;16,00;61,00;0,00;0,00
2022-11-27;28,00;91,64;40,73;81,45;0,00;0,00;31,00;0,00;0,00
2022-12-04;17,00;70,83;31,17;70,83;0,00;0,00;26,00;10,00;7,00
2022-12-11;22,00;77,00;33,00;96,25;0,00;12,00;39,00;0,00;10,00
2022-12-18;24,00;69,33;37,33;72,00;0,00;11,00;10,00;17,00;29,00
2022-12-25;16,00;93,33;61,33;88,00;21,33;13,00;29,00;15,00;0,00
2023-01-01;43,00;102,13;51,06;118,25;0,00;0,00;13,00;0,00;22,00
2023-01-08;28,00;155,27;66,18;99,27;17,82;14,00;0,00;0,00;28,00
2023-01-15;46,00;127,18;59,53;100,12;0,00;0,00;29,00;26,00;10,00
2023-01-22;0,00;37,00;23,00;53,00;0,00;0,00;18,00;8,00;0,00
2023-01-29;27,00;129,60;54,00;135,00;0,00;0,00;23,00;11,00;0,00
2023-02-05;17,00;113,33;51,00;76,50;0,00;9,00;18,00;0,00;12,00
2023-02-12;47,00;96,61;96,61;88,78;0,00;0,00;33,00;26,00;52,00
2023-02-19;12,00;153,00;57,00;162,00;0,00;0,00;19,00;18,00;0,00
2023-02-26;32,00;117,33;45,33;98,67;0,00;0,00;30,00;18,00;0,00
2023-03-05;42,00;99,75;13,13;157,50;0,00;0,00;0,00;0,00;13,00
2023-03-12;44,00;88,00;36,24;100,94;0,00;8,00;18,00;0,00;0,00
2023-03-19;53,00;90,10;39,75;68,90;13,25;0,00;94,00;0,00;0,00
2023-03-26;30,00;76,36;51,82;111,82;0,00;9,00;18,00;0,00;0,00
2023-04-02;30,00;92,73;38,18;87,27;0,00;0,00;9,00;9,00;0,00
2023-04-09;33,00;90,75;49,50;90,75;0,00;0,00;39,00;20,00;26,00
2023-04-16;0,00;26,00;19,00;41,00;0,00;0,00;16,00;0,00;0,00
2023-04-23;9,00;87,00;24,00;168,00;0,00;0,00;100,00;0,00;16,00
2023-04-30;30,00;98,18;21,82;95,45;16,36;0,00;33,00;12,00;0,00
2023-05-07;39,00;83,20;36,40;96,20;13,00;0,00;0,00;27,00;0,00
2023-05-14;15,00;70,00;52,50;105,00;0,00;0,00;9,00;0,00;0,00
2023-05-21;40,00;58,67;29,33;82,67;0,00;0,00;55,00;0,00;10,00
2023-05-28;31,00;76,09;39,45;90,18;0,00;0,00;0,00;0,00;10,00
2023-06-04;22,00;44,00;27,50;99,00;22,00;0,00;33,00;0,00;11,00
2023-06-11;49,00;65,33;57,17;84,39;32,67;0,00;19,00;0,00;16,00
