Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-08-16;0,00;0,00;33,00;0,00;0,00;42,00;0,00;0,00;0,00;0,00;20,00;10,00;18,00;0,00;15,00;16,00;0,00;0,00;0,00;18,00;0,00
2020-08-23;0,00;23,00;14,00;0,00;0,00;13,00;25,00;27,00;26,00;0,00;24,00;26,00;8,00;0,00;19,00;0,00;16,00;0,00;13,00;0,00;39,00
2020-08-30;19,00;42,75;0,00;27,31;0,00;20,00;0,00;0,00;0,00;0,00;43,18;74,27;0,00;0,00;0,00;13,72;0,00;0,00;0,00;0,00;0,00
2020-09-06;0,00;0,00;16,00;0,00;0,00;47,00;0,00;0,00;20,00;0,00;33,00;27,00;0,00;0,00;14,00;41,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;17,00;0,00;44,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,33;43,44;0,00;0,00;0,00;0,00;21,25;22,00;0,00;0,00;0,00
2020-09-20;0,00;0,00;0,00;19,00;0,00;32,00;0,00;0,00;0,00;13,00;32,00;0,00;13,00;0,00;20,00;21,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;22,00;0,00;0,00;18,00;0,00;0,00;0,00;52,00;0,00;0,00;0,00
2020-10-04;14,00;15,17;17,50;0,00;0,00;19,00;0,00;0,00;27,00;0,00;33,25;68,25;0,00;0,00;0,00;0,00;0,00;0,00;41,00;0,00;0,00
2020-10-11;0,00;0,00;0,00;0,00;0,00;26,00;0,00;20,00;0,00;16,00;32,00;8,00;0,00;0,00;0,00;13,00;0,00;19,00;51,00;0,00;0,00
2020-10-18;0,00;0,00;0,00;11,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;14,00;0,00;14,00
2020-10-25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;11,00;0,00;0,00;0,00;24,00;14,00;0,00;25,00;27,00;0,00
2020-11-01;18,00;0,00;0,00;0,00;56,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-08;0,00;21,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;14,00;22,00
2020-11-15;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00
2020-11-22;0,00;13,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;7,00;30,00;0,00;0,00;0,00;36,00;0,00;0,00;15,00;19,00;0,00
2020-11-29;0,00;0,00;10,00;33,00;0,00;0,00;0,00;0,00;0,00;11,00;17,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;16,00;16,00
2020-12-06;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;12,00;24,00;0,00;23,00;0,00;0,00;29,00
2020-12-13;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-20;0,00;0,00;0,00;19,00;0,00;0,00;23,00;15,00;36,00;12,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00
2020-12-27;16,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;97,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;40,00;0,00
2021-01-03;0,00;0,00;13,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;9,00;0,00;0,00;15,00;16,00;0,00;13,00;0,00;0,00
2021-01-10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;47,00;13,00;0,00;25,00;0,00;0,00;20,00;0,00;23,00;0,00;0,00
2021-01-17;56,00;16,18;14,93;0,00;26,13;0,00;0,00;0,00;0,00;0,00;0,00;28,90;0,00;43,32;0,00;0,00;0,00;16,00;0,00;96,00;0,00
2021-01-24;0,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;34,00;0,00;20,00;0,00;0,00;26,00
2021-01-31;15,00;33,75;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,13;30,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00
2021-02-07;0,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;15,00;0,00;14,00;0,00;0,00;0,00;24,00;0,00;0,00;34,00;0,00;0,00;0,00
2021-02-14;46,00;17,41;14,92;22,38;0,00;0,00;0,00;0,00;0,00;29,44;20,24;0,00;0,00;0,00;0,00;32,09;0,00;0,00;0,00;0,00;58,00
2021-02-21;13,00;0,00;0,00;0,00;0,00;41,00;0,00;0,00;0,00;0,00;40,86;48,29;0,00;0,00;0,00;44,00;13,00;0,00;15,00;0,00;0,00
2021-02-28;0,00;33,00;0,00;14,00;20,00;24,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;52,00;0,00;20,00;44,00
