Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
17/01/2021;4;1;1;1;0,5;1;0;0,5;0;1;0;0;1;0;1;0;0,5;0;0;0;0
24/01/2021;4;1;0;2;0,5;0,5;0;0;0;0;0;0;1;0;0,5;0;0;0;0;0;0,5
31/01/2021;4;1;0;1;2;1;0;1;0;0,5;0;0;0;0,5;0;0;0;0;0;0;0
07/02/2021;4;1;0;1;0,5;1;1;1;0,5;1;0;1;1;0;0;0;0;0,5;0;0;0
14/02/2021;4;1;1;2;1;0;1;0,5;0;0,5;0;0;0;0;0;1;0;0;0;0;0
21/02/2021;4;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
28/02/2021;5;1;0;0;0,5;1;2;1;0;0;1;1;0;0;0,5;0,5;0;0;0;0;0
07/03/2021;5;1;0;1;2;1;1;1;0;0,5;0;0;1;0;0;0;0;0;0,5;0;0
14/03/2021;5;1;1;1;1;0;0;0;0;1;0;0;0,5;0;0;0;0;0;0,5;0;0
21/03/2021;4;1;1;2;0;1;0,5;0,5;0;0;0,5;0;0,5;0;0;1;0;0,5;0;0;0
28/03/2021;3;1;0,5;1;0;0;2;1;0;0;0;0;0;1;0;0;0,5;0;1;0;0
04/04/2021;7;3;5;1;0;1;1;0,5;0;0;0;0;0,5;0;0;0;0;0;1;0;0
11/04/2021;4;1;0,5;1;1;1;0;1;0;0,5;0;1;1;0;0;0;0,5;0;0,5;0;0
18/04/2021;4;1;0;2;0,5;0;1;1;0;0;0;0,5;0;0;0;1;0;0;0;0;0
25/04/2021;4;4;1;0,5;1;1;0,5;1;0,5;0;0;0,5;1;0;0;0;0;0;0,5;0;0
02/05/2021;5;2;1;31;0,5;0,5;1;1;0;0,5;0;1;0;0,5;1;0;0;0,5;0;0;0
09/05/2021;6;3;0,5;3;1;0,5;1;1;0;0;0,5;0;1;0;0;0;0;0;1;0;0
16/05/2021;7;3;1;1;2;1;1;1;0,5;0;0;1;0,5;0,5;0;0;0;1;0,5;1;0
23/05/2021;9;1;0;2;1;2;1;3;0;1;0;1;1;1;0;0;0,5;0;0;0;0
30/05/2021;10;3;2;1;2;2;1;1;1;0,5;0;2;1;0;1;0,5;0;0,5;0;0;0
06/06/2021;11;3;2;2;1;1;1;1;0;0,5;0;1;0;0,5;0;0;1;0;0,5;0;0
13/06/2021;9;2;2;2;1;1;1;1;0;2;0;1;0,5;0;0;0;0;0;1;0;0
20/06/2021;13;3;1;2;1;1;2;3;0;0;1;1;1;0;0,5;1;1;0;0;0;0
27/06/2021;13;5;3;2;1;1;2;2;0;0;0;1;2;1;0;0,5;1;0;0,5;0,5;0
04/07/2021;14;3;3;2;1;2;3;2;0;0;0,5;1;2;0;0;0;0,5;0;0;0,5;0
11/07/2021;16;3;2;2;1;1;3;1;0;0,5;0;1;3;0;1;1;0;0;0,5;0;0
18/07/2021;19;4;2;3;1;2;2;4;0;0,5;0;1;3;0;0;0;0,5;1;0;0;0
25/07/2021;18;4;2;3;2;2;3;2;0;0,5;2;1;2;0,5;0;0;0;0;1;0;1
01/08/2021;17;4;3;2;1;1;1;2;0;0;0,5;0;2;0;0;1;0;0;0;0,5;0
08/08/2021;16;4;3;2;2;2;2;3;0;1;0;1;1;0;0;1;0,5;0;1;0;0
15/08/2021;17;3;2;1;1;1;2;2;0;0;0,5;1;2;0;1;0;0;0;0;0,5;0
22/08/2021;22;3;3;2;2;1;2;1;0;0;0;2;2;0;0;1;0;0;0;0;0
29/08/2021;11;3;1;1;1;1;2;3;0;0,5;0;1;2;0,5;0;2;0;0;0;0;0
05/09/2021;11;5;2;2;1;1;3;1;0;0,5;0;1;0;0;0;0;0;0;0;0;0
12/09/2021;12;3;3;3;1;1;1;1;1;0;0;0,5;0;0;0;0;1;0;0;0;0
19/09/2021;12;1;1;1;1;1;1;1;0;0;0,5;1;0;0;0;0;1;0;0;0;0
26/09/2021;10;1;1;1;1;0;1;0;0;0;0;0,5;1;0;0;0;0;0;0;0;0
03/10/2021;12;2;0;4;1;1;1;2;0;0;0;1;1;0;0;1;1;0;0;0;0
10/10/2021;10;2;0,5;2;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0
17/10/2021;8;2;0,5;2;0;1;1;1;0;0;0,5;0;0,5;0;0;0,5;0;0;0;0;1
24/10/2021;9;1;0,5;1;0;0;1;0,5;0;0;0;0;0;1;0;0;0;0;0;0,5;0
31/10/2021;7;1;0;2;1;1;1;2;0;0;0;0,5;1;0;0;0;1;0;0;0;0
07/11/2021;6;1;0;0,5;0;0;1;1;0;0;0;0;0;0;1;0;0;0,5;0,5;0;0
14/11/2021;4;1;0;0;0;0,5;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0
21/11/2021;4;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
28/11/2021;4;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0
05/12/2021;6;1;0;1;1;1;1;0,5;0;0;0;1;0;0;0;1;0,5;1;0;0;0
12/12/2021;5;1;1;1;0;0;0;0;0,5;2;0,5;0;0;0;0;1;0;0;0;0;0
19/12/2021;7;2;1;2;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;2;0
26/12/2021;8;2;1;1;1;0;1;2;0;0;1;1;0;1;0;0;0;0;1;0;0
02/01/2022;9;1;0;0,5;1;2;1;1;0;0;0;2;1;0;1;1;0;1;0;0;1
09/01/2022;10;1;0,5;1;1;2;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1
16/01/2022;9;2;0;1;2;0,5;0;2;0;0,5;0;1;1;0;0;0,5;0;1;2;0;0
23/01/2022;9;2;1;2;1;1;0,5;1;0;0;0;1;0,5;1;0;1;1;1;0;0;0
30/01/2022;9;2;1;2;1;2;1;1;0;0;1;0;1;0;0;0,5;0,5;0;0;0;0
06/02/2022;11;2;0,5;1;0;0;1;1;1;0;0;0;1;0,5;0;0;0;0;0,5;0;0
13/02/2022;13;1;1;1;1;1;2;3;0;0;0;0,5;1;0;0;0;0,5;0;0;0;0,5
20/02/2022;13;0;1;1;1;2;1;1;0;1;0;0;0;0;0,5;1;0,5;0;0;0,5;0
27/02/2022;11;1;0;2;1;1;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0
